variable,ABW,AGO,ALB,ANT,ARE,ARG,ATG,AUS,BEL,BEN,BGD,BGR,BHR,BHS,BIH,BLZ,BMU,BRA,BRB,BRN,CAN,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KEN,KHM,KIR,KNA,KOR,KWT,LBN,LBR,LBY,LCA,LKA,LTU,LVA,MAC,MAR,MCO,MDG,MDV,MEX,MHL,MLT,MMR,MNE,MOZ,MRT,MTQ,MUS,MYS,NAM,NCL,NGA,NIC,NLD,NOR,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PSE,PYF,QAT,REU,ROU,RUS,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,STP,SUR,SVN,SWE,SYC,SYR,TGO,THA,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UKR,URY,USA,VCT,VEN,VIR,VNM,VUT,WSM,YEM,ZAF
1,0.107,19.082,3.204,0.200689,7.512,40.412,0.08871,22.268,10.712,8.85,148.692,7.494,1.262,0.343,3.76,0.312,0.064941,194.946,0.273,0.399,34.017,17.114,1341.335,19.738,19.599,65.966,4.043,46.295,0.735,0.496,4.659,11.258,1.104,82.302,0.889,0.067757,5.55,9.927,35.468,14.465,81.121,5.254,46.077,1.341,5.365,0.861,64.935,0.105681,1.505,62.036,4.352,24.392,9.982,0.4,1.728,1.515,0.7,11.359,0.104487,14.389,0.25,0.754,7.053,7.601,4.403,9.993,239.871,1224.614,4.47,73.974,31.672,0.32,7.418,60.551,2.741,6.187,126.536,40.513,14.138,0.099546,0.052402,48.184,2.737,4.228,3.994,6.355,0.174,20.86,3.324,2.252,0.544,31.951,0.030508,20.714,0.316,113.423,0.070983,0.417,47.963,0.631,23.391,3.46,0.38,1.299,28.401,2.283,0.251,158.423,5.788,16.613,4.883,0.010134,4.368,2.782,173.593,3.517,29.077,93.261,0.02,6.858,38.277,3.749,24.346229,10.676,4.039,0.271,1.759,0.840974,21.486,142.958,27.448,43.552,12.434,5.086,0.538,5.868,6.193,9.331,0.165,0.525,2.03,9.38,0.086518,20.411,6.028,69.122,1.124,0.104,1.341,10.481,72.752,0.010782,23.068,44.841,45.448,3.369,310.384,0.109,28.98,0.10417,87.848,0.24,0.183,24.053,50.133
2,0.123,25.492,3.337,0.211886,10.55,44.244,0.097396,25.14,11.024,11.632,168.989,7.1,1.807,0.387,3.73,0.375,0.066106,213.252,0.279,0.462,36.669,18.743,1385.689,24.164,24.176,88.115,5.141,53.123,0.943,0.552,5.362,11.257,1.235,80.559,1.048,0.067879,5.686,11.333,41.26,16.812,96.216,6.85,47.697,1.308,5.508,0.934,67.866,0.10990824,1.784,64.894,4.236,30.757,12.259,0.416,2.239,1.848,0.903,11.284,0.108127,18.278,0.26,0.804,7.541,9.245,4.336,11.366,264.214,1412.09,4.925,83.578,42.354,0.359,8.935,60.556,2.926,7.995,123.211,52.534,15.941,0.115828,0.058528,48.908,3.503,4.59,5.691,7.549,0.193,22.634,3.225,2.133,0.608,35.644,0.03172832,27.383,0.366,128.799,0.07382232,0.432,50.922,0.654,28.973,4.327,0.3952,1.375,33.326,2.658,0.289,205.735,6.639,16.99,5.272,0.01053936,4.75,3.33,212.332,4.069,32.363,112.048,0.0208,8.355,37.947,3.754,25.355354,10.702,5.093,0.304,2.45,0.87461296,20.956,141.783,34.708,56.995,16.356,5.636,0.678,7.37,6.676,11.844,0.192,0.581,2.053,9.912,0.089841,24.699,7.332,73.046,1.46,0.114,1.392,11.595,82.619,0.01121328,23.286,59.857,43.02,3.481,328.774,0.114,33.85,0.1083368,97.488,0.299,0.197,32.796,54.009
3,0.132,33.357,3.484,0.212869,12.166,48.338,0.104643,26.836,11.005,14.673,190.251,6.782,2.157,0.425,3.656,0.441,0.066582,230.452,0.283,0.517,37.812,20.199,1398.879,29.338,28.849,113.384,6.287,60.051,1.185,0.621,6.01,11.176,1.335,76.961,1.206,0.068815,5.694,12.868,46.828,19.344,111.658,8.526,47.158,1.242,5.491,1.009,69.222,0.11430457,2.054,65.803,4.119,38.128,14.875,0.43264,2.797,2.19,1.105,10.899,0.107563,22.916,0.2704,0.88,7.857,11.067,4.243,12.849,285.082,1603.709,5.154,91.361,55.608,0.382,10.105,58.536,3.174,9.934,115.474,66.205,17.843,0.132178,0.063336,48.007,4.154,4.95,7.477,8.616,0.211,24.257,3.151,2.037,0.649,39.546,0.032997453,35.415,0.416,145.518,0.076775213,0.439,53.535,0.674,35.199,5.277,0.411008,1.45,38.52,3.02,0.323,268.276,7.595,16.963,5.502,0.010960934,4.957,3.895,256.606,4.641,35.93,133.169,0.021632,9.985,36.434,3.788,26.180166,10.434,6.311,0.337,2.79,0.909597478,20.381,138.271,41.845,72.359,21.141,5.9,0.828,8.947,7.293,15.271,0.224,0.644,2,10.119,0.092431,29.793,8.711,75.698,1.956,0.129,1.417,12.556,92.424,0.011661811,22.439,78.347,40.97,3.625,337.347,0.121,38.7,0.112670272,105.134,0.365,0.222,43.795,57.007
4,0.138,41.337,3.552,0.207232,13.488,52.239,0.109344,27.898,10.814,17.736,207.6,6.528,2.498,0.454,3.514,0.502,0.065889,243.654,0.28,0.568,37.963,21.231,1368.545,34.467,33.319,138.748,7.43,66.346,1.445,0.683,6.574,10.812,1.41,72.288,1.342,0.06738,5.608,14.308,51.57,21.752,126.579,10.29,46.174,1.167,5.356,1.07,69.534,0.118876752,2.287,65.501,3.986,46.134,17.38,0.4499456,3.357,2.51,1.299,10.422,0.102819,27.768,0.281216,0.928,8.006,12.843,4.132,14.183,299.273,1787.902,5.285,97.503,70.305,0.396,11.14,55.866,3.376,11.882,105.844,80.85,19.352,0.145273,0.066626,45.42,4.804,5.198,9.341,9.677,0.226,25.697,3.039,1.944,0.676,42.51,0.034317351,43.814,0.457,160.857,0.079846221,0.437,54.501,0.687,41.194,6.206,0.42744832,1.501,43.252,3.324,0.354,345.292,8.476,16.561,5.616,0.011399372,5.036,4.418,300.368,5.17,38.998,153.437,0.02249728,11.5,33.915,3.757,26.444855,10.05,7.511,0.365,3.09,0.945981378,19.655,135.257,49.058,89.475,26.327,6.02,0.978,10.491,7.839,19.021,0.253,0.7,1.914,10.127,0.093273,34.668,9.977,76.468,2.499,0.144,1.412,13.2,101.004,0.012128284,20.62,98.92,39.368,3.733,338.918,0.127,43.081,0.117177083,110.042,0.429,0.244,55.925,59.423
5,0.144,49.523,3.579,0.198053,14.535,56.052,0.111577,28.462,10.434,20.683,221.609,6.381,2.843,0.48,3.346,0.563,0.064662,253.654,0.272,0.612,37.456,21.971,1307.465,39.491,37.387,163.27,8.538,72.164,1.703,0.741,7.093,10.242,1.486,66.551,1.463,0.064847,5.454,15.699,56.114,24.063,141.264,12.003,44.261,1.092,5.168,1.119,68.624,0.123631822,2.502,64.376,3.867,54.504,19.652,0.467943424,3.89,2.794,1.49,9.778,0.094921,32.856,0.29246464,0.963,8.077,14.595,4.042,15.35,306.913,1970.55,5.312,102.576,86.198,0.403,12.006,52.213,3.563,13.878,95.502,95.946,20.785,0.155721,0.068238,41.158,5.376,5.373,11.27,10.726,0.237,26.89,2.964,1.867,0.691,45.108,0.035690045,52.62,0.496,175.157,0.08304007,0.436,54.438,0.699,46.765,7.084,0.444546253,1.536,47.588,3.586,0.384,433.684,9.277,15.857,5.636,0.011855347,5.015,4.914,347.138,5.659,41.558,173.52,0.023397171,12.859,31.079,3.691,26.381631,9.495,8.726,0.394,3.329,0.983820633,18.875,134.315,56.289,109.699,31.779,6.006,1.12,11.932,8.347,22.721,0.278,0.751,1.808,10.08,0.091324,39.377,11.103,75.951,3.086,0.157,1.382,13.707,109.227,0.012613415,18.31,120.723,38.501,3.814,334.232,0.132,47.097,0.121864166,112.599,0.491,0.263,69.474,61.625
6,0.15,57.25,3.599,0.183911,15.274,59.659,0.112221,28.436,9.9,23.382,231.585,6.298,3.153,0.504,3.18,0.62,0.064081,259.958,0.263,0.652,36.445,22.514,1231.334,44.056,40.85,185.095,9.58,77.408,1.95,0.791,7.576,9.549,1.553,60.264,1.56,0.062585,5.258,16.969,59.781,26.19,154.858,13.6,41.108,1.006,4.964,1.161,66.779,0.128577095,2.684,62.312,3.757,62.707,21.586,0.486661161,4.38,3.025,1.667,8.949,0.089907,37.949,0.304163226,0.995,8.172,16.253,3.983,16.281,308.46,2131.454,5.194,105.072,102.891,0.4,12.63,47.578,3.727,15.84,84.811,110.276,22.003,0.164044,0.068511,36.029,5.887,5.499,13.144,11.561,0.246,27.935,2.911,1.804,0.703,47.469,0.037117647,61.427,0.527,188.087,0.086361673,0.438,54.099,0.713,52.006,7.921,0.462328103,1.57,51.834,3.819,0.415,525.149,9.975,15.03,5.575,0.012329561,4.9,5.358,391.963,6.102,43.652,192.829,0.024333058,14.063,28.048,3.607,26.161175,8.779,9.96,0.422,3.486,1.023173458,17.963,134.629,63.311,131.034,37.269,5.981,1.253,13.222,8.78,26.271,0.3,0.803,1.683,9.915,0.087711,44.123,12.056,75.362,3.708,0.169,1.333,14.031,116.87,0.013117952,16.377,142.023,38.129,3.877,326.108,0.136,50.629,0.126738733,112.732,0.549,0.282,83.317,63.633
7,0.157,64.069,3.574,0.169747,15.735,63.018,0.112023,27.774,9.283,25.737,238.605,6.274,3.457,0.525,3.016,0.675,0.064177,263.731,0.256,0.685,34.945,22.941,1157.454,48.133,43.763,203.883,10.523,82.097,2.19,0.837,8,8.943,1.594,54.297,1.63,0.060263,5.027,18.13,62.663,28.205,166.938,15.101,37.441,0.913,4.732,1.201,64.469,0.133720179,2.842,59.583,3.686,70.628,23.264,0.506127607,4.83,3.202,1.827,8.046,0.085786,42.983,0.316329755,1.017,8.226,17.793,3.935,16.975,305.783,2268.342,4.966,105.756,120.148,0.389,13.091,42.83,3.888,17.561,73.79,124.052,22.92,0.168314,0.067872,30.92,6.364,5.57,14.874,12.271,0.252,29.015,2.86,1.748,0.712,49.336,0.038602353,69.938,0.547,200.418,0.08981614,0.439,53.73,0.723,56.515,8.694,0.480821227,1.61,55.704,4.01,0.444,614.306,10.627,14.201,5.43,0.012822743,4.721,5.761,432.943,6.503,45.488,210.579,0.02530638,15.072,24.628,3.535,25.764258,7.991,11.211,0.451,3.577,1.064100396,17.087,136.352,70.037,153.029,42.853,5.912,1.375,14.296,9.17,29.652,0.319,0.851,1.547,9.607,0.083601,48.504,12.801,74.872,4.326,0.183,1.281,14.146,124.042,0.01364267,16.485,162.51,38.145,3.941,315.313,0.14,53.639,0.131808282,111.548,0.6,0.303,96.812,65.532
8,0.163,70.116,3.528,0.158957,16.122,66.388,0.111177,26.562,8.62,27.747,245.085,6.347,3.782,0.544,2.888,0.73,0.064413,266.806,0.25,0.715,32.941,23.334,1094.03,51.841,46.217,219.858,11.363,86.361,2.413,0.882,8.385,8.532,1.631,48.534,1.686,0.057702,4.756,19.215,65.84,30.191,178.014,16.434,34.057,0.824,4.461,1.244,61.759,0.139068986,2.977,56.475,3.674,78.159,24.703,0.526372712,5.247,3.336,1.97,7.196,0.081259,47.888,0.328982945,1.038,8.262,19.24,3.917,17.513,301.292,2392.625,4.702,106.544,137.947,0.372,13.402,38.651,4.061,19.095,63.563,137.407,23.864,0.168816,0.066692,26.201,6.824,5.653,16.389,13.018,0.258,30.224,2.861,1.716,0.721,51.261,0.040146447,78.073,0.562,212.751,0.093408785,0.44,53.789,0.732,60.527,9.429,0.500054076,1.657,59.203,4.174,0.472,699.857,11.259,13.322,5.216,0.013335653,4.484,6.208,473.703,6.878,47.205,226.945,0.026318636,15.906,21.318,3.496,25.334033,7.232,12.532,0.485,3.651,1.106664412,16.588,140.019,76.672,175.009,48.585,5.793,1.483,15.153,9.556,32.846,0.336,0.899,1.413,9.199,0.079598,52.715,13.384,75.023,4.963,0.196,1.241,14.338,131.741,0.014188376,16.557,182.215,38.649,4.021,300.574,0.144,56.296,0.137080613,110.119,0.644,0.323,110.199,67.359
9,0.168,75.26,3.513,0.151169,16.47,69.991,0.109655,24.896,7.902,29.337,252.437,6.477,4.088,0.566,2.813,0.788,0.064811,270.692,0.248,0.745,30.511,23.768,1050.266,55.182,48.275,232.949,12.075,90.438,2.62,0.932,8.78,8.258,1.673,42.921,1.734,0.055179,4.436,20.248,69.44,32.167,188.373,17.585,31.095,0.742,4.159,1.289,58.528,0.144631746,3.098,52.999,3.712,85.095,25.913,0.54742762,5.632,3.428,2.089,6.421,0.077619,52.615,0.342142263,1.065,8.309,20.635,3.933,17.977,296.382,2504.988,4.406,108.868,155.979,0.35,13.551,34.848,4.24,20.459,54.516,149.744,24.931,0.167459,0.065329,21.986,7.244,5.783,17.561,13.753,0.265,31.639,2.926,1.717,0.731,53.834,0.041752305,85.525,0.576,224.984,0.097145137,0.447,54.745,0.741,64.126,10.131,0.520056239,1.72,62.536,4.323,0.499,780.003,11.881,12.332,4.924,0.013869079,4.182,6.724,513.592,7.228,48.918,241.955,0.027371381,16.597,18.566,3.489,24.924742,6.533,13.922,0.523,3.734,1.150930989,16.459,144.524,82.877,195.441,54.429,5.676,1.579,15.828,9.979,35.831,0.354,0.948,1.283,8.679,0.076039,56.94,13.873,75.953,5.632,0.209,1.221,14.75,140.066,0.014755912,16.653,201.091,39.387,4.126,282.232,0.149,58.825,0.142563838,109.322,0.683,0.344,123.168,69.283
10,0.172,79.305,3.533,0.146957,16.531,73.854,0.107988,22.921,7.135,30.586,261.496,6.612,4.32,0.588,2.772,0.85,0.065422,276.286,0.249,0.775,27.846,24.33,1027.984,58.171,50.031,243.26,12.665,94.553,2.816,0.992,9.199,8.116,1.707,37.647,1.773,0.053437,4.091,21.286,73.064,34.134,197.768,18.563,28.173,0.661,3.837,1.334,54.958,0.150417016,3.21,49.229,3.792,91.449,26.963,0.569324725,5.994,3.488,2.18,5.68,0.07518,57.116,0.355827953,1.099,8.29,22.001,3.962,18.394,291.627,2608.619,4.051,112.604,174.243,0.324,13.562,31.112,4.448,21.579,46.331,160.98,26.117,0.164374,0.063948,18.453,7.552,5.949,18.376,14.449,0.274,33.258,3.009,1.73,0.738,56.81,0.043422397,92.267,0.599,237.649,0.101030942,0.459,56.383,0.748,67.369,10.815,0.540858489,1.8,65.712,4.471,0.525,853.597,12.514,11.295,4.574,0.014423842,3.847,7.276,551.068,7.571,50.741,255.277,0.028466236,17.169,16.171,3.519,24.552338,5.857,15.364,0.565,3.778,1.196968228,16.519,149.032,88.239,215.801,60.338,5.547,1.668,16.354,10.487,38.596,0.372,0.994,1.151,8.075,0.072922,61.129,14.294,77.291,6.3,0.224,1.219,15.225,148.784,0.015346148,16.613,218.654,40.082,4.266,261.774,0.156,61.304,0.148266391,109.731,0.716,0.368,135.274,71.179
