variable,ABW,AGO,ALB,ANT,ARE,ARG,ATG,AUS,BEL,BEN,BGD,BGR,BHR,BHS,BIH,BLZ,BMU,BRA,BRB,CAN,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,GUF,HKG,HND,HRV,HTI,IDN,IND,IRL,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KEN,KHM,KIR,KOR,KWT,LBN,LBR,LBY,LKA,LTU,LVA,MAC,MAR,MCO,MDG,MDV,MEX,MHL,MLT,MMR,MNE,MOZ,MRT,MTQ,MUS,MYS,NAM,NCL,NGA,NIC,NLD,NOR,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PYF,QAT,REU,ROU,RUS,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,STP,SUR,SVN,SWE,SYC,SYR,TGO,THA,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UKR,URY,USA,VCT,VEN,VNM,VUT,WLF,WSM,YEM,ZAF
1,0.107,19.082,3.204,0.200689,7.512,40.412,0.08871,22.268,10.712,8.85,148.692,7.494,1.262,0.343,3.76,0.312,0.064941,194.946,0.273,34.017,17.114,1341.335,19.738,19.599,65.966,4.043,46.295,0.735,0.496,4.659,11.258,1.104,82.302,0.889,0.067757,5.55,9.927,35.468,14.465,81.121,5.254,46.077,1.341,5.365,0.861,64.935,0.105681,1.505,62.036,4.352,24.392,9.982,0.4,1.728,1.515,0.7,11.359,0.104487,14.389,0.754,0.25,7.053,7.601,4.403,9.993,239.871,1224.614,4.47,31.672,0.32,7.418,60.551,2.741,6.187,126.536,40.513,14.138,0.099546,48.184,2.737,4.228,3.994,6.355,20.86,3.324,2.252,0.544,31.951,0.030508,20.714,0.316,113.423,0.070983,0.417,47.963,0.631,23.391,3.46,0.38,1.299,28.401,2.283,0.251,158.423,5.788,16.613,4.883,0.010134,4.368,2.782,173.593,3.517,29.077,93.261,0.02,6.858,38.277,3.749,24.346229,10.676,0.271,1.759,0.840974,21.486,142.958,27.448,43.552,12.434,5.086,0.538,5.868,6.193,9.331,0.165,0.525,2.03,9.38,0.086518,20.411,6.028,69.122,1.124,0.104,1.341,10.481,72.752,0.010782,22.975,44.841,45.448,3.369,310.384,0.109,28.98,87.848,0.24,0.015561,0.183,24.053,50.133
2,0.127,24.635,3.216,0.211886,11.538,42.93,0.097396,26.845,11.515,11.282,162.575,7.056,1.956,0.387,3.711,0.353,0.066106,207.991,0.277,38.876,18.409,1370.95,22.28,23.136,83.853,5.003,51.411,0.856,0.512,5.291,10.937,1.263,83.307,1.033,0.067879,5.93,10.802,39.865,16.019,93.152,6.768,49.852,1.342,5.73,0.881,70.183,0.10990824,1.738,67.504,4.031,29.263,11.26,0.416,2.11,1.758,0.892,11.59,0.108127,16.739,0.745,0.26,7.749,8.625,4.342,10.792,258.896,1360.706,5.151,39.441,0.378,9.51,62.892,2.737,7.983,126.426,49.553,15.146,0.115828,49.905,3.656,4.494,5.724,7.337,21.95,3.161,2.119,0.622,33.689,0.03172832,25.915,0.358,123.222,0.07382232,0.435,49.197,0.65,27.839,4.181,0.3952,1.358,32.596,2.613,0.291,197.63,6.112,17.538,5.583,0.01053936,4.948,3.287,201.497,3.97,30.553,107.437,0.0208,8.094,38.872,3.547,25.355354,11.112,0.297,2.671,0.87461296,20.66,142.001,34.891,53.316,14.936,5.81,0.647,7.201,6.118,10.666,0.177,0.561,2.135,10.461,0.089841,23.652,7.164,72.633,1.304,0.103,1.347,11.362,79.781,0.01121328,23.929,56.086,42.883,3.363,342.944,0.106,32.705,95.225,0.287,0.01618344,0.177,30.943,55.115
3,0.143,30.014,3.148,0.212869,14.458,44.252,0.104643,32.34,12.559,13.623,170.957,6.755,2.524,0.424,3.609,0.365,0.066582,215.02,0.277,45.107,19.224,1359.188,23.855,26.126,101.579,5.916,54.898,0.927,0.495,5.822,10.294,1.42,85.774,1.146,0.068815,6.489,11.233,42.637,16.996,101.71,8.137,53.354,1.352,6.203,0.844,76.771,0.11430457,1.925,74.182,3.586,33.365,11.889,0.43264,2.396,1.949,1.087,11.881,0.107563,18.215,0.691,0.2704,8.633,9.202,4.273,11.053,269.335,1457.427,5.882,46.315,0.445,11.946,65.373,2.583,9.813,125.369,57.34,15.338,0.132178,51.325,4.58,4.654,7.543,7.942,22.053,2.963,2.008,0.704,33.67,0.032997453,30.616,0.389,127.761,0.076775213,0.449,48.465,0.667,31.875,4.758,0.411008,1.399,36.049,2.872,0.33,239.977,6.006,18.813,6.519,0.010960934,5.601,3.736,222.815,4.321,30.396,118.67,0.021632,9.072,39.302,3.201,26.180166,11.725,0.315,3.273,0.909597478,19.605,140.682,42.289,61.634,16.696,6.268,0.733,8.482,5.59,11.334,0.174,0.579,2.269,11.875,0.092431,26.308,8.168,74.539,1.385,0.093,1.3,11.853,84.269,0.011661811,24.652,66.557,41.232,3.262,384.823,0.098,35.441,98.547,0.327,0.016830778,0.158,36.758,59.719
4,0.157,34.785,3.053,0.207232,16.95,44.756,0.109344,38.025,13.677,15.726,173.744,6.541,3.052,0.454,3.465,0.363,0.065889,216.625,0.271,51.576,19.571,1308.693,24.703,28.536,117.241,6.719,56.981,0.971,0.464,6.231,9.463,1.554,88.561,1.228,0.06738,7.092,11.325,44.294,17.511,107.767,9.412,57.471,1.381,6.683,0.782,83.832,0.118876752,2.059,81.33,3.157,36.855,12,0.4499456,2.603,2.093,1.262,12.316,0.102819,19.014,0.617,0.281216,9.563,9.454,4.199,10.993,272.661,1521.182,6.656,52.295,0.513,14.547,68.197,2.366,11.467,123.783,63.859,15.039,0.145273,51.817,5.445,4.712,9.255,8.413,21.705,2.747,1.913,0.787,32.674,0.034317351,34.503,0.409,128.504,0.079846221,0.453,46.293,0.681,35.092,5.205,0.42744832,1.416,38.648,3.058,0.362,284.396,5.682,20.116,7.511,0.011399372,6.252,4.085,237.798,4.558,29.366,126.457,0.02249728,9.793,39.202,2.816,26.444855,12.426,0.325,3.795,0.945981378,18.464,139.877,49.041,69.709,17.912,6.685,0.8,9.608,4.939,11.527,0.163,0.584,2.424,13.362,0.093273,28.187,8.962,74.565,1.374,0.08,1.226,12.029,86.877,0.012128284,24.631,75.791,40.247,3.106,428.702,0.09,37.229,99.031,0.359,0.017504009,0.135,41.858,63.139
5,0.166,38.646,2.935,0.198053,18.642,44.322,0.111577,44.222,14.896,17.413,171.098,6.334,3.472,0.472,3.271,0.348,0.064662,213.077,0.259,58.817,19.444,1224.522,24.76,30.139,129.597,7.334,57.54,0.97,0.42,6.474,8.463,1.663,91.934,1.279,0.064847,7.785,11.102,44.889,17.553,110.961,10.421,61.811,1.434,7.249,0.701,91.402,0.123631822,2.141,89.447,2.716,39.251,11.568,0.467943424,2.71,2.176,1.404,12.813,0.094921,19.148,0.53,0.29246464,10.265,9.409,4.091,10.644,268.552,1547,7.488,56.508,0.588,17.354,71.012,2.099,12.838,122.31,68.216,14.344,0.155721,51.336,6.117,4.664,10.735,8.718,20.801,2.524,1.819,0.848,30.9,0.035690045,37.232,0.422,125.582,0.08304007,0.45,42.999,0.689,37.254,5.468,0.444546253,1.406,40.173,3.162,0.388,326.018,5.193,21.516,8.615,0.011855347,6.935,4.31,245.972,4.67,27.57,130.499,0.023397171,10.182,39.254,2.41,26.381631,13.164,0.327,4.126,0.983820633,17.119,138.098,54.367,76.747,18.356,6.973,0.839,10.459,4.216,11.044,0.146,0.575,2.606,15.165,0.091324,29.143,9.511,72.501,1.266,0.066,1.126,11.956,87.232,0.012613415,23.27,82.494,39.242,2.9,475.715,0.081,37.976,96.63,0.38,0.018204169,0.11,45.74,65.275
6,0.17,41.474,2.78,0.183911,19.497,43.103,0.112221,50.657,16.2,18.621,163.88,6.086,3.747,0.477,3.03,0.325,0.064081,204.589,0.242,66.597,18.899,1117.585,24.221,30.989,138.446,7.749,56.773,0.939,0.368,6.55,7.32,1.728,95.496,1.295,0.062585,8.598,10.634,44.107,17.191,111.457,11.088,65.683,1.492,7.928,0.613,99.432,0.128577095,2.174,98.148,2.294,40.542,10.772,0.486661161,2.726,2.199,1.513,13.318,0.089907,18.813,0.44,0.304163226,10.625,9.137,3.939,10.047,257.567,1532.067,8.318,59.116,0.667,20.223,73.575,1.807,13.844,120.939,70.526,13.356,0.164044,50.252,6.545,4.516,11.875,8.733,19.48,2.281,1.711,0.878,28.475,0.037117647,38.947,0.424,119.836,0.086361673,0.441,39.074,0.685,38.582,5.583,0.462328103,1.369,40.759,3.194,0.404,361.099,4.618,23.097,9.849,0.012329561,7.637,4.401,247.183,4.666,25.22,131.435,0.024333058,10.286,39.363,2.009,26.161175,13.915,0.323,4.276,1.023173458,15.536,134.8,57.856,82.23,18.237,7.065,0.854,11.027,3.484,10.118,0.125,0.555,2.797,17.192,0.087711,29.424,9.811,68.919,1.086,0.052,1.009,11.592,85.511,0.013117952,21.292,86.731,38.014,2.659,527.773,0.072,37.817,91.662,0.391,0.018932336,0.086,48.06,65.801
7,0.17,43.245,2.58,0.169747,19.477,41.318,0.112023,56.427,17.415,19.366,153.935,5.743,3.873,0.469,2.755,0.3,0.064177,192.205,0.223,73.927,18.015,999.737,23.468,31.17,144.048,7.946,54.974,0.899,0.322,6.447,6.176,1.731,98.291,1.282,0.060263,9.437,10.042,42.276,16.558,109.809,11.441,68.612,1.552,8.625,0.533,106.976,0.133720179,2.159,106.798,1.931,41.045,10.013,0.506127607,2.699,2.186,1.58,13.705,0.085786,18.269,0.365,0.316329755,10.5,8.756,3.727,9.371,241.552,1476.771,9.103,60.533,0.741,23.328,75.008,1.546,14.359,117.974,71.452,12.275,0.168314,48.714,6.69,4.275,12.58,8.534,18.048,2.039,1.586,0.873,25.891,0.038602353,39.737,0.414,113.099,0.08981614,0.424,35.076,0.659,39.152,5.601,0.480821227,1.307,40.537,3.16,0.408,388.953,4.096,24.71,11.051,0.012822743,8.313,4.379,243.028,4.557,22.835,129.832,0.02530638,10.141,39.166,1.649,25.764258,14.549,0.313,4.254,1.064100396,13.797,129.575,59.264,85.899,17.917,6.912,0.85,11.296,2.874,9.259,0.108,0.528,2.978,19.184,0.083601,29.161,9.878,64.089,0.91,0.04,0.889,10.969,82.268,0.01364267,21.043,89.13,36.235,2.414,581.139,0.063,36.849,85.224,0.392,0.019689629,0.067,49.194,64.51
8,0.164,43.903,2.334,0.158957,18.581,39.014,0.111177,61.201,18.44,19.612,142.198,5.305,3.839,0.448,2.457,0.276,0.064413,177.009,0.201,80.335,16.728,880.994,22.537,30.67,146.355,7.916,52.312,0.85,0.283,6.156,5.134,1.66,100.005,1.242,0.057702,10.265,9.381,39.735,15.708,105.946,11.467,70.319,1.617,9.304,0.466,114.154,0.139068986,2.095,115.01,1.626,40.739,9.375,0.526372712,2.639,2.137,1.595,13.887,0.081259,17.562,0.305,0.328982945,9.957,8.298,3.444,8.65,222.398,1385.981,9.794,60.758,0.81,26.736,75.468,1.334,14.351,114.046,71.11,11.15,0.168816,46.606,6.549,3.961,12.812,8.197,16.583,1.815,1.445,0.83,23.358,0.040146447,39.57,0.388,106.093,0.093408785,0.394,31.199,0.614,38.888,5.506,0.500054076,1.226,39.492,3.054,0.4,408.585,3.654,26.181,12.155,0.013335653,8.929,4.258,234.104,4.358,20.597,125.762,0.026318636,9.765,38.773,1.323,25.334033,14.922,0.299,4.055,1.106664412,12.041,121.756,58.624,87.314,17.416,6.494,0.825,11.244,2.401,8.555,0.094,0.495,3.126,21.1,0.079598,28.358,9.726,58.288,0.767,0.032,0.77,10.179,77.694,0.014188376,19.954,89.869,33.754,2.168,632.46,0.055,35.153,77.737,0.383,0.020477214,0.053,49.253,61.511
9,0.152,43.488,2.028,0.151169,17.144,35.961,0.109655,64.492,19.266,19.373,129.35,4.8,3.675,0.416,2.131,0.252,0.064811,159.272,0.176,85.101,15.072,762.385,21.445,29.57,145.618,7.683,48.701,0.792,0.249,5.653,4.194,1.513,100.214,1.181,0.055179,11.067,8.672,36.786,14.557,100.356,11.209,70.811,1.669,9.945,0.411,120.432,0.144631746,1.989,122.309,1.366,39.682,8.835,0.54742762,2.552,2.056,1.563,13.89,0.077619,16.684,0.258,0.342142263,8.999,7.777,3.077,7.907,201.633,1267.837,10.372,59.821,0.867,30.434,75.145,1.162,13.887,109.608,69.694,10.054,0.167459,44.564,6.194,3.605,12.614,7.7,15.085,1.592,1.287,0.754,20.956,0.041752305,38.448,0.343,98.083,0.097145137,0.352,27.54,0.548,37.802,5.312,0.520056239,1.127,37.576,2.885,0.381,420.088,3.279,27.423,13.112,0.013869079,9.426,4.052,221.376,4.048,18.537,119.505,0.027371381,9.183,38.12,1.052,24.924742,15.124,0.281,3.736,1.150930989,10.368,112.187,56.388,86.45,16.779,5.856,0.783,10.913,2.032,8.017,0.084,0.458,3.232,22.745,0.076039,26.914,9.386,51.891,0.678,0.026,0.658,9.31,72.173,0.014755912,18.034,89.114,30.829,1.907,677.321,0.048,32.69,69.06,0.366,0.021296303,0.043,48.359,57.305
10,0.135,42.105,1.701,0.146957,15.227,32.414,0.107988,66.449,19.831,18.71,116.176,4.22,3.393,0.373,1.8,0.228,0.065422,139.102,0.15,88.101,13.067,644.558,20.237,27.977,142.159,7.278,44.068,0.73,0.219,4.976,3.329,1.32,99.065,1.105,0.053437,11.756,7.857,33.58,13.124,93.583,10.709,70.904,1.715,10.498,0.365,125.846,0.150417016,1.852,128.323,1.143,38.003,8.384,0.569324725,2.444,1.951,1.494,13.785,0.07518,15.637,0.221,0.355827953,7.761,7.161,2.66,7.191,180.359,1134.34,10.824,57.432,0.913,34.529,74.346,1.008,12.983,105.342,67.294,9.076,0.164374,42.484,5.641,3.213,12.056,7.065,13.445,1.386,1.123,0.654,18.727,0.043422397,36.465,0.291,88.813,0.101030942,0.303,24.278,0.469,35.96,5.045,0.540858489,1.007,34.643,2.672,0.351,424.04,2.944,28.381,13.873,0.014423842,9.796,3.766,206.518,3.644,16.51,111.675,0.028466236,8.45,37.546,0.825,24.552338,15.142,0.258,3.298,1.196968228,8.796,101.687,52.49,84.111,16.066,5.046,0.727,10.369,1.733,7.666,0.077,0.417,3.293,24.08,0.072922,24.615,8.898,45.341,0.653,0.022,0.557,8.364,65.862,0.015346148,15.554,86.841,27.683,1.639,713.172,0.042,29.432,59.518,0.342,0.022148155,0.037,46.723,52.371
