variable,ABW,AGO,ALB,ANT,ARE,ARG,ATG,AUS,BEL,BEN,BGD,BGR,BHR,BHS,BIH,BLZ,BMU,BRA,BRB,CAN,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,GUF,HKG,HND,HRV,HTI,IDN,IND,IRL,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KEN,KHM,KIR,KOR,KWT,LBN,LBR,LBY,LKA,LTU,LVA,MAC,MAR,MCO,MDG,MDV,MEX,MHL,MLT,MMR,MNE,MOZ,MRT,MTQ,MUS,MYS,NAM,NCL,NGA,NIC,NLD,NOR,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PYF,QAT,REU,ROU,RUS,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,STP,SUR,SVN,SWE,SYC,SYR,TGO,THA,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UKR,URY,USA,VCT,VEN,VNM,VUT,WLF,WSM,YEM,ZAF
1,1608.7850467289718,5895.71533382245,8733.239700374532,18984.59806,48280.33546325879,16373.522221122439,12480.11989,40729.76109215017,38063.78267363704,1623.1796610169492,1696.652005487854,13194.731785428343,24330.237717908083,32062.91545189504,8509.06914893617,7530.576923076923,81545.82039,11505.733587762765,20060.659340659342,40278.458417849884,15519.827042187682,7752.2294728759025,1931.554362144087,2346.193173121077,360.77130643058547,4341.192184021766,9666.421859812073,1121.3877551020407,3960.120967741935,11915.556986477784,6551.607745603127,21547.445652173912,37777.39374498797,2415.9280089988747,6171.981431,37007.48108108108,9561.43850105772,8623.443667531295,8208.945731075008,6319.642509337903,558.283212790255,30736.034898105343,18917.539149888144,36138.31873252562,4733.449477351916,33739.049203049195,3207.76677,15520.66445182724,37015.48907086207,5302.3621323529405,1685.416530009839,1115.3315968743739,25750,2090.6597222222217,1212.990099009901,35076.17142857143,27488.562373448363,6272.259743,4898.062408784487,3540.954907161804,19600,47653.71331348362,4011.0722273385077,18448.943901885075,1131.444010807565,4419.234088322473,3400.6930183715026,41055.55704697986,3683.511619095731,37135.49999999999,30450.9706120248,30900.022790705352,7868.537030280919,5849.064166801357,35129.93029651641,1688.5439241724878,2243.7148111472625,1117.942592,31251.198738170347,52004.742418706606,14384.006622516556,549.7346019028541,17896.475216365063,5192.956855225312,17511.209386281585,14675.728241563056,65652.6838235294,4898.564051203405,188409.5975,990.5793183354252,8416.518987341771,14168.572864410215,2718.960878,25812.661870503598,1643.7933407001233,11587.892234548335,937.8889316403744,2511.953757225433,28157.89474,13808.129330254042,15063.847047639167,6692.693823915901,19302.788844621515,2433.8416770292192,2849.4091223220457,42188.78348281466,53289.105058365756,9867.771857,28940.027472527465,28001.71099928109,2748.3776419556084,14407.36991754336,9756.35657048526,4058.9603371184094,8e3,2527.8477690288714,19670.949133944665,19689.85862896772,508.4976404,24624.469838890967,18900.442804428043,79560.20466173963,24971.04548,12422.10555710695,16069.296716518134,23409.373360536283,2306.7252939015425,1981.2932282451343,59364.95084545812,2771.598513011152,845.4805725971371,6814.413046988535,38.48462115528882,2003.6363636363633,8099.428571428569,28820.660098522167,38489.09808102345,13194.76299,5413.98069668316,1023.8818845388188,8747.119296316656,1502.0818505338077,4636.730769230769,26420.62639821029,9762.711573323157,14297.510446448208,3524.392506,36787.29831878014,1430.6375861376864,6930.175585284281,14358.788958147816,48067.28697355534,10845.688073394494,12446.258799171841,3243.2408250614694,4545.749999999999,12081.48577,4497.704918032787,2705.1361576518516,10795.833881874212
2,2407.68,7804.476405562819,10651.384897584836,23017.67041,55643.41754957891,22696.43975212302,14550.86695,48676.161927117406,42302.49689440994,1912.673267326733,2914.5281724880583,19099.032258064515,27235.88953797132,36742.17054263566,11522.339967724583,8154.904109589042,102545.9358,15226.069857599066,22947.096774193542,46238.70670479822,22561.34108902892,16842.42426747117,2963.153075328265,3178.544009469857,591.977008546012,6803.624187512309,13207.482625926139,1313.3407325194228,5768.442776735458,16116.68043559895,8763.589280880627,20952.980769230766,44191.290684898064,3459.272727272727,8279.718875,41512.02204615914,13244.541839869871,10698.020134228187,10527.513305193612,8583.652559366754,586.2951198382905,32541.788431175544,28079.27547169811,42235.00089015488,5442.421621621621,36904.745079852764,5523.674741,18008.629903354176,42522.98660302979,9521.509433962263,2982.5357249428066,2476.2913907284765,31694.40097,2810.6086956521735,1585.0469353948092,35394.40621531631,28784.850393700784,8145.624544,5569.230505569836,5442.248062015503,33750.5912,62799.43507257748,4866.58897355446,21464.263655220093,1748.061805367308,7629.703903249842,5725.690240323206,45573.97260273972,7186.4848425389955,43208.78048780488,37267.27508931471,33108.610093676056,8741.339915373765,7383.828349806079,39465.118857811285,2302.211299301196,3994.7113474722883,1720.633648,44282.13617400461,62729.89955357142,19022.180616740086,919.0159944367176,24578.9867310012,9174.109100632855,25606.401253918495,22252.54237288135,74402.1463414634,7434.660847952371,231904.0517,1110.8519111243438,10653.646408839777,17808.89184755474,4681.966178,30914.27251732102,2805.6958315890197,13924.78527607362,1590.4190236748375,3499.578355586788,34658.15947,19799.47329919532,20734.400971315827,8696.546762589925,25182.206896551725,3637.1118796798473,3774.929311969839,47504.07205746061,60710.56763730187,16991.99663,33006.665292662816,34677.49926101093,3319.0587486314807,24361.47687717553,15670.530869302458,5488.169180985368,13775.75151,4129.317961165048,26641.986982556627,24681.641504254734,874.398933,26376.945921173232,20122.325581395344,118390.46838407495,42999.36469,16454.131753828373,23543.289732265497,29585.07684337765,2969.9945602901175,2513.084147977765,76469.90033222592,3711.867469879517,1449.7910692339203,8151.812627291242,49.415220293724964,6125.189189189188,11778.671328671328,33454.69914040114,46075.98861182014,20697.90925,7718.635066385406,1425.1174934725846,13053.067292644755,2823.0936819172116,5320,31876.793002915445,13402.724183006534,19892.50185157754,6068.894424,51810.90962988058,2086.87467872931,10457.792216865786,20567.25043782837,57831.886844715285,13607.454545454542,15200.698129687073,5571.4768483943235,5401.428571428572,20803.94323,5413.475935828877,2555.124468351263,14754.15515447926
3,3651.3043478260865,7817.562078166693,13493.165707361404,27928.84188,65749.72827307432,29595.318817029573,16509.02885,55339.43779175969,48690.0535031847,2655.6545531078996,4724.430459408433,27856.070476754518,34733.35887611749,40983.80281690141,16925.84640792733,10333.548387096775,124109.2678,19319.87882541435,26869.110320284693,51280.35907597138,29549.661688509597,27728.848130338512,5992.196034989876,4834.493135639758,1239.557522123894,9974.999999999998,16500.589240859616,2088.5496183206105,8190.053667262967,20651.531043816613,11104.207573632537,23034.29193899782,48871.76370810132,5673.959390862944,10975.90046,45512.91276490882,17189.160419790103,13968.053640018867,13649.112050739956,12957.435440783613,733.3434828434242,35647.43307839388,37338.73554356206,47453.84088964927,7101.25,41711.01206471072,9511.596333,21983.249243188697,48666.607650242004,14221.218115564807,4639.318694163813,5398.953279424977,37149.32494,4234.786620530565,2518.0038572806175,40684.59434822242,35098.25467967308,11004.43837,7597.839321601882,7576.18925831202,58117.46973,74080.66157760812,6755.811549547759,25622.296313688657,2951.585581043609,12515.269393288243,9104.279642416728,51642.22746236169,9179.665165225015,51090.217917675545,44433.279638009044,37265.98799109016,10363.3125,11168.41400304414,45107.985051075484,3387.6586404370137,6353.4813925570215,2700.234273,58366.87058254968,74729.2612859097,25701.299999999996,1689.3342122610413,32036.67670078266,14342.032770097285,31928.220255653883,29603.31683168316,78688.58407079645,11806.66593340116,271817.0624,1683.1018935978357,13832.75434243176,22243.684468397838,8062.200332,38354.32432432432,4189.504462188821,17618.026905829593,2561.922428330522,4969.411062475128,40623.17596,26989.060308555396,27709.75215952208,12028.818737270876,30839.266055045868,5380.216837340339,5854.61060112526,53516.638335942735,64170.18987341773,29259.69042,36808.39772727272,41466.49949849548,4603.462725922464,33916.591467500555,22554.721104082804,7447.249433613069,23721.41621,5977.265011002829,33970.15862123571,30262.653237410068,1516.580802,30991.602598808877,21292.82208588957,133038.93596059113,74043.57039,22486.077830780818,32549.346424888274,35983.35204605719,4286.851721609529,3670.192113245702,90418.7779237845,5419.384615384615,2204.2170188463733,10456.951219512193,86.9872572815534,11228.140703517587,16884.27406199021,39660.7868852459,52529.24085199344,32769.99649,11659.795918367347,2102.6068476977566,19738.557946092937,4626.287098728044,6995.454545454545,39620.86764705882,20699.321645092576,25672.64569494924,10450.44769,63493.6806822521,3338.0897214690654,15507.234632793106,27216.219193969264,66202.86281711441,16644,18785.662434895836,8802.043782734067,7429.768786127166,35823.74404,7121.935483870967,3588.692428276394,19931.582145600405
4,5507.4324324324325,7310.947489780945,16834.67318265119,34971.17677,74523.42645047861,36798.51896472934,19259.21001,61310.96110536247,57195.13009327443,3872.4818991097914,7034.177987566199,36519.576036866354,42301.909871244636,45129.99999999999,22907.731958762884,13436.658932714618,152879.7103,23251.91101674635,31434.368231046927,57473.76290974406,36668.00078670468,37115.06768877273,10648.694926452688,7301.234446948173,2360.9371640233226,13880.861774744028,20921.015598203347,3390.22746419545,11154.86013986014,25473.029591357445,14029.051312649164,26097.088948787063,55424.480197095814,9044.234930448221,16593.02854,50882.34774376774,21617.438563327032,16149.130847228958,17682.857588357587,18713.96601293767,1001.2047483567153,39357.01364296081,48218.50746268657,54370.718562874245,9639.138461538461,47694.28832808395,15622.28901,27090.583873957363,55144.04408959616,19922.167654530054,6894.1706024096375,9648.536234859372,43543.09596,6394.8790322580635,4307.9843953185955,46470.14062499999,42320.20262531935,17040.83244,10565.612151368337,10021.879895561357,95454.84024,84224.1256520753,9599.159006098114,30074.71562275018,4991.776600866634,18311.745216789954,13195.452987298624,58311.30624580255,11036.984630889394,60776.56387665198,52230.615863141524,42153.89958401857,12664.407135362013,16543.082609816902,50161.748435784364,4986.911972585136,9255.634218289086,4196.626443,71352.9586674892,87076.71312427409,33238.579234972676,2894.480996486745,38934.252290034216,20040.107160657917,39034.01180965613,36536.851948051946,82531.3469387755,17825.164278789187,318599.5023,2694.7658346412836,18139.953810623552,27448.07273836089,13241.73348,47504.26008968609,5531.600910620607,21584.780058651024,3971.7304842860485,7142.831177909819,47614.83156,33940.16427104722,35718.15878793841,16109.801949072616,36403.57541899441,7771.573874355325,9166.130004304778,60915.72255598035,67873.64511691885,48057.47888,42090.34617432985,48677.046654929574,6658.572649349389,43209.90507635163,29754.980058495086,10054.570218660048,38961.15928,8797.707532126442,41600.96375662822,36528.83204930662,2564.610147,36039.07957984689,23916.802325581393,132930.5611510791,121612.61,28355.746501188274,41103.795721086855,40967.441114151115,6210.3635556119525,5433.912683823529,98223.3516397301,7756.369785794814,3475.2085392370036,13603.528850739149,156.94656488549617,17280.865384615383,22808.878504672895,47169.80156898939,59647.66339171292,52897.00604,16781.148583542108,3115.9361545731385,27672.35990906553,7229.2830589484865,9161.454545454546,47094.3593631539,29504.42362654811,31764.171689182625,17164.30222,75671.91704825642,5143.92926461074,21554.973627367257,34171.316559391445,72345.5923159018,20287.777777777777,23123.07030129125,12658.716865742952,10584.885496183204,58838.58641,9201.878453038675,5263.711246701846,25491.955137623663
5,8323.461538461539,8420.357922503183,20729.05342080599,44605.39167,80949.63759976352,44128.80733944953,23007.02494,67430.49537923568,66170.04922197522,5926.943895076506,10214.208308432553,44383.19277108433,48651.019644527594,49861.88284518828,28675.092396243555,17606.383928571428,189895.7966,27597.313988993737,36926.64179104477,63423.62509194073,44943.61449303594,45998.9112828527,17205.10532675789,10941.813246471225,4284.706730076379,18993.9767352678,26447.87511737089,5535.244755244755,14869.738219895291,30869.52790973872,18382.003916449088,29522.317922735907,63427.975472558646,13600.580551523948,28084.05199,58782.832369942196,26828.717636308254,19191.914386673398,23117.729105480612,25551.061099943134,1537.0500257864878,43504.35329795299,58711.358220810165,61954.64378238341,13315.670103092783,54372.51950667002,24468.32944,33748.58391608392,62463.44761855024,26732.399256044635,10185.296273934795,15926.565891472865,51037.29905,9641.063244729605,7404.501607717042,53504.948024948026,50366.85810810811,30067.33025,14817.442819947926,13793.688524590161,149505.6504,92313.3052767886,13762.036195214,34262.56952990401,8268.957401741585,25117.583419703533,18107.024382928776,64614.762503932056,12669.332467494132,71574.39024390244,60680.23346303502,48392.56978333007,16183.417085427132,23202.99554817777,55832.57299118857,7446.614481910423,13213.580471189329,6377.214496,84466.43916592684,95814.84536082472,41365.059320329776,4913.899405083829,44372.11790167989,26578.099884240117,45486.966457795796,42911.21525885559,85390.243902439,25412.197648074223,373433.6687,4464.955775753142,23104.33260393873,33857.706412765016,20739.79665,55975.8013544018,7136.909188122069,25464.418604651164,6359.557373560636,10474.51124222612,55809.82114,41711.2729748128,44356.684618051535,21037.65480107688,41680.880829015536,11353.896393548475,13955.491873396064,70356.6266487214,72543.57638397282,75269.77801,49815.888888888876,54718.635002993404,9661.203580595877,53164.2169146437,38021.636052211914,13790.39734299517,61022.71443,13101.775034770513,48186.30833546627,43270.0842034355,4187.491085,42126.275862068964,27973.10924369748,134534.11114037398,190475.1222,34404.669707720896,47159.452291262845,45192.135847392216,9047.378425783818,8283.426521523998,103550.23277182234,11158.14624098867,5586.798475042113,17898.056240749873,303.0219032297983,24431.65876777251,29946.19119878604,54844.93860845839,67253.89546035805,88002.51878,23461.824843610364,4886.060488936128,37035.740700456816,11310.305973773675,12453.962264150941,53531.547714514825,38337.297339715915,38569.500625782224,26883.49968,88186.1582405027,7827.652903553894,27978.23054369631,42023.30132052821,77307.84305439901,25474.615384615383,28457.503476051206,17501.887790296616,15349.19168591224,92155.63197,12553.333333333332,7485.605257578969,31396.589103021648
6,12399.25925925926,11350.69551334534,25076.316639741515,58554.83941,88145.99565774089,52343.280491230886,27884.49135,73901.36607670374,75869.23399301514,9211.25390070922,14560.085678122869,52794.60872406469,56380.589235127474,54891.11561866126,34296.75413022351,22999.999999999996,233580.682,32703.584545076857,43145.647058823524,69298.80749033984,53916.36408267465,54005.260982613756,25847.324926889094,16113.310457235995,7350.541543164997,25629.368346344923,33245.027183484686,8976.762749445676,19438.93048128342,37002.28858578607,23805.134240529605,33850.4,72427.5345469644,19446.30693763139,39106.74307,67584.04395604396,32913.116209101165,24195.142424000638,30179.760093622004,33620.82525722253,2538.106481119537,50195.50837354527,68918.09830781625,70088.15268614514,18485.57550158395,61670.73283858997,34826.06233,41758.56,70306.40140108608,34420.40521978022,14974.714285714286,24686.361297609332,59821.32957,14367.53589890867,12337.333333333332,61415.9696778269,60497.261839956445,42661.47955,20624.660531080262,18790.116279069767,212793.1582,99429.97389579199,19484.895833333332,38775.29620253164,13197.082711491632,32960.548633027196,24011.862552303017,72909.54238559639,14736.016391905823,82877.56653992395,69937.37542139135,56524.89106047763,20813.999999999996,31044.875247795473,62677.50388126738,11149.772945998928,18427.70353477765,8960.892166,98022.25143336596,102677.63699714918,49969.149715215615,8193.31845712464,51364.40613790354,34664.31001256807,51126.55104454079,49473.90705679861,88198.1412639405,34426.171778126816,437705.3447,7321.191933741447,28640.382165605093,41846.592949551094,29519.19756,63678.99772209566,9068.561187026135,29796.95652173913,10225.89067354088,15176.069243396509,65415.25052,50206.03696098561,54050.63177255301,26682.5464037123,46806.89486552567,16887.448811270297,20542.624945675794,80306.46467867964,79876.88267124191,107132.3642,59171.82347235693,64004.25349487418,13875.556946021261,63749.458483754504,47574.10436043001,18773.0453866864,86854.35027,19220.511293124844,54927.34667181971,50252.939416604335,6250.743588,50224.19260441607,33019.39726027397,143875.76364546816,271105.4913,41538.27953044754,53804.979619565216,49587.33473384609,13186.167025641524,12696.894708711918,108105.76240327719,15941.25725338491,8940.172173485284,23318.630849220106,584.3068261787474,32647.428571428572,38190.85457271364,63319.8108108108,74441.2128489943,149251.5865,31477.542770029922,7855.876608560737,47746.08864993014,16958.93675527039,17032.27722772277,61059.826238053865,46862.259036144584,46363.661829574965,38263.60265,99350.46839993745,11772.86467671264,35590.34602166898,50846.77701436602,81822.39298695743,31976.999999999996,34983.598627226675,23291.66852529878,22209.07127429805,131166.1996,17128.679245283012,10424.047288338908,37957.68152150151
7,18108.72727272727,16200.882923305067,30115.064581917057,73625.59457,97955.64784960926,61320.67896262885,32418.28863,82302.96031514442,86525.55513046138,14136.050286722537,20342.711579919112,62147.319640129004,65182.4100239936,61443.01810865191,39902.79803646563,29913.79912663755,270674.419,38528.63630004377,50311.36929460581,77252.66328039119,64342.54556409097,62263.747637507026,36538.53514725302,23087.520585544367,11963.7892662571,33853.85082004045,41469.55967555041,13935.685714285715,25355.60439560439,44468.90878090366,30592.502101428967,39927.921146953406,82952.89855072463,26775.42501727712,49507.71411,77652.81396338867,39888.224383623616,31127.269245499803,38822.445296201055,42883.703598499,4232.227093380096,58912.30890343887,81675,79778.91148142485,25334.021739130432,69780.14570561275,45003.18807,51351.9254658385,80083.14027082718,43863.493383742905,21539.229054674182,35950.29098738849,66754.8992,20774.620879120877,19606.38599105812,70358.72113676732,72422.53790005614,54502.2861,28132.223545976383,24733.581395348832,274977.1256,107403.4676333506,27124.807395993834,44000.34192530247,20186.203473945407,41795.27267770836,31042.19298560787,83075.30131004367,17958.655255202953,96441.52173913042,80542.34620727978,66051.21481862618,26610.792899408283,40268.15470463729,70867.51419696922,16344.123475096043,25412.778973076696,11737.17574,111907.29894394799,109175.36021748977,59198.195551825425,13201.003505696755,60848.820745415105,44085.800780412494,59070.927573062254,57795.155203895316,91441.98773006136,45256.118124178895,488437.4248,11602.70516717325,36069.40677966102,51327.21194508467,38145.5126,72659.72027972028,11441.891216872486,34702.74336283185,16109.449909992882,21260.71560940841,72997.18155,59889.269311064716,64529.337891639254,33070.440755580996,52488.51063829787,24752.3118638394,29122.86222222222,90855.60378349973,89672.21778221779,138439.3644,70925.93499764484,75839.09725953787,19689.802958581728,74719.46280991734,58145.39712203325,25081.241645626018,112235.5615,27330.1912678557,63815.64287066843,57537.47605164516,8529.892101,59845.743589743586,39448.9430894309,157953.42729970324,350329.9138,50328.402103559856,62057.764770248905,55350.36201646554,19098.846140150974,18983.74681545804,112435.34562211983,22269.200743494417,13923.936725629235,30133.339432753884,1074.9304812834223,41965.217391304344,47458.91891891891,73141.10711071108,84138.90810347292,255067.1544,40740.64983726718,12625.673458586929,59636.02571717051,24519,22835.624999999996,69992.08770257389,56373.67256637167,55183.6666597712,49445.27148,107829.56589147287,17247.893424018093,44839.590880951735,60475.900621118,86719.71752909939,40296,42448.50769480744,30626.10584542714,31480.993788819873,169496.5423,22532.21476510067,14165.611379089903,45391.168551258816
8,25795.975609756097,23146.101701062704,36034.97993433053,89022.86843,108661.66611018364,70911.02122612571,36985.59857,91506.4498836143,97523.03131650957,21054.45904954499,27756.635773259793,70992.62315489951,73410.05422153369,68959.55193482689,45575.52147239263,38450,305353.8621,45454.68142525628,58472.9203539823,86536.77000110452,75947.46152246257,70610.83668477918,49304.99999999999,31933.275018451193,18477.4108936368,43670.128652420404,51097.085900911996,20702.528089887637,32904.839319470695,53287.166498776794,38922.31307667833,47042.06896551724,94408.56206269626,35515.26315789473,60005.79284,89332.45121107265,47796.08163889313,39156.14453358632,49043.528145938275,53110.28464380495,6901.9113106932355,68097.35700971253,94147.71428571428,90507.36983842008,33944.10774410774,78306.23857067786,52748.68763,62517.41078838173,90416.89457559919,53647.39148408432,29909.962285837428,49651.810564663014,72677.52414,29017.546012269937,29627.81422779211,79764.96300512238,84875.41375291375,66775.95169,37648.6540756863,32977.36408566722,322303.444,115066.0955588297,37061.45613043829,49497.59734879867,29561.57733916921,51664.84828035556,39055.55649769395,93345.86320148507,22870.232371321574,110691.41361256545,92011.44306880454,76256.67748975355,33881.19439868204,50975.085820895525,80014.285037772,23144.398341145214,34355.872958909014,14265.00606,126889.58943710908,116853.38882282996,69179.77602108035,20305.46270718232,71306.89307927732,54126.57534246575,66893.58985966501,66498.0234070221,93844.40298507462,57670.31809501074,531772.5464,17646.27671541057,45100.477223427326,62292.62287681662,44710.73751,82483.98058252427,14354.638291583537,39940.27649769584,24669.844689683097,28665.18077296024,79473.63396,71581.24374553251,76014.33869718613,40284.803217466244,58386.55813953488,35143.556566745574,39800.32786885245,102399.19745687634,101187.2962607862,162266.166,84210.85424041864,88608.43348017622,27089.92265700261,86261.22024933888,69725.56172162354,32890.69272410312,131552.4261,37752.952626075756,73381.51130946343,65378.76326718967,10574.46886,70656.28279480807,47038.86486486486,172030.15174506823,410625.202,59952.86768542676,69758.32052420465,62601.62463841026,27069.891314320983,27402.461727720063,117459.41682600381,30448.931506849316,20885.260361317745,38565.27472527472,1867.9158949776663,52652.352941176476,58148.66261398176,83172.0054323223,94339.36534102618,396549.3539,51897.6749837978,19905.909960020854,72717.93175388408,34283.23961393201,29738.06451612903,79011.13924050631,65727.0650775958,64895.83457855414,57955.2981,117434.2477550806,24446.500105196716,54538.20197181529,71078.13873626373,91711.744096809,50324.666666666664,50998.26999059265,38939.83896620278,43595.73170731708,198668.5955,29415.211267605635,18518.79569539144,53701.280452897394
9,35497.7358490566,32259.192197604156,42545.847860538815,103402.7857,119189.17023492648,81302.6644365461,41422.17519,101595.46022529324,109389.26769793492,30465.45731707317,36763.96542895183,79957.55750888347,81424.06153846154,76896.4509394572,50998.38993710692,48634.11504424778,335229.2916,53330.983345242676,67650.85714285714,96994.59022659021,88873.16770186335,79224.11822334127,64232.57658643324,43023.07485604607,27063.843635206355,55402.24843107552,62121.11847085541,29876.799999999996,42066.66666666666,63133.39961418608,48682.79094827586,54811.14303560274,106687.45843298436,45714.399999999994,69314.47801,102420.64454718519,56684.92013780143,48285.02931180969,60927.969249201284,64407.4610149951,10999.046434494196,78841.81807185194,107268.89845094664,102194.46507515475,44836.46511627906,87858.4879120879,58862.50525,75159.67088607594,101570.01375907384,64113.02949061662,40242.183851628506,66092.80140130465,77193.46268,39341.95595175668,42958.48496101002,89865.8487394958,98318.9202305126,77221.32592,49537.277073373516,42842.51308900524,359659.9085,122605.70582428429,49555.816674792775,55319.141104294475,41480.020613244,62759.795937694296,48147.227959065174,104849.22402826854,29899.84275792514,126232.10256410255,104752.09132931783,87745.84905660377,42590.047271164585,63033.900946021146,90812.69642288762,31845.19697673437,45481.15612648221,16689.27594,142631.1234210927,127411.77474913884,79305.73611111108,29960.6489834388,83225.24242727182,65334.67014127006,73957.02249880326,75735.68654646324,96676.41290322579,71170.41763991403,564815.1158,25868.68843216647,55493.84965831435,74985.0737681338,49892.91942,92421.42857142857,17853.516982313347,45596.292682926825,36688.154941089684,37426.85886050007,84411.86006,85005.88757396449,88449.41514360312,48332.327964860895,64902.93706293706,48072.88511263096,52846.139447824055,115105.00520291364,113893.81440895313,181073.5675,99163.79642365886,102014.07485503427,35984.11422138379,98561.09890109889,82565.06324866622,42202.85235393795,146799.9627,50671.58255197717,83027.09714615162,74052.04257475924,12473.62391,82685.90805902383,55581.95121951219,183514.1796154859,458218.5679,70393.95348837208,77789.79916199356,71712.08507834925,37407.74016468436,38269.35805803497,122324.43696347415,40946.129917657825,30238.913043478264,48505.06467259498,3052.1409616813503,65081.584158415826,69935.90697674418,93893.49862258953,105057.95828319291,557872.884,64926.93140794224,30309.971361624575,86487.34145017974,46177.31942215088,38609.67032967033,88986.3562281723,74794.972167355,75535.37713316114,64672.58603,127118.92282430215,33608.54478787705,65001.2753236199,82740.84568124323,97085.66618151212,62109.88235294116,60931.417317126215,48362.12319322936,59022.28105906313,221695.2074,37884.34782608695,23453.432788571878,62676.75147540983
10,47570.46357615894,43766.36574562328,49745.097024579554,117494.744,129575.97354076068,92440.89275362318,46462.17971,113747.21704206495,122881.22098421541,42768.48964527372,47478.0970804227,89212.99486369023,89463.3367983368,85416.10389610387,56505.3418413856,60392.071269487744,366843.3096,62393.87628373536,77619.38461538461,109676.88556519181,103355.55926544241,87935.32616076374,80934.97289848413,56336.46764091858,37944.416758014064,68870.92100950508,74293.14831694771,41460.637393767705,52898.72509960159,73829.26103795506,60245.552419354826,63595.34246575342,120398.05465367962,57338.32258064515,79062.3014,116766.64152976028,66325.9265832997,58796.61060064473,74426.25848241823,76675.03501245817,16914.580698950875,91639.68257291816,122557.54633715797,115642.8429073857,58298.333333333336,98866.87858924532,62520.02467,88941.77083333333,114337.974127756,75738.68246445498,52390.16198760351,85154.54753861003,81990.00655,51834.65346534653,59762.42355605888,100985.107102593,113075.9987290828,88067.71211,63831.635344201015,54381.75824175824,382007.9736,131200.23305084746,64669.37304075234,61718.25465838509,55713.235057625294,75094.8832180311,58310.54597313929,118344.92085924248,38979.73218523289,144090.96774193548,119081.48202557898,100785.7773923099,52871.186440677964,76287.78412299967,103369.14746267062,42519.383301409864,59194.862595419836,18781.34121,158516.30941286113,140008.27065351416,89684.74302496327,42515.78600269179,97019.4418889911,77460.14255167496,81939.20999999999,85625.82781456954,100546.43835616438,85745.28514524433,599910.8401,36584.3787042368,68007.08737864078,89458.50111137515,52993.09874,102983.064516129,21982.021005292456,51795.65217391305,52775.15918237239,47364.64900300464,89656.93102,99987.28110599077,101535.448638063,57270.7887579329,72271.13744075828,63270.95329509941,68264.71172325432,129051.76711250983,128294.17993079586,192324.874,116400.49777231523,116092.58892231461,46573.71929136511,111346.80597014923,96351.97576010865,53027.51858857902,155921.6219,66061.93337249306,93911.67791375957,84030.59668508286,13987.63209,95902.03973769207,65449.046321525886,191808.63560732114,486690.7389,81611.23377196856,86608.51152321768,82344.93393335886,50059.20906350104,51706.301123595505,126799.37161430117,53606.462395543174,42152.68162799544,60055.736808913185,4674.302355816735,79170.44776119402,82946.83706070288,106063.92857142854,117891.35267296634,709111.936,79853.26630660571,44330.68149964961,100861.05265083602,60446.22699386502,49159.33333333333,99884.33121019107,84388.91498356035,86949.67718194895,68691.12446,138290.71772583108,45096.2853387302,76376.84066268727,95404.56273764258,102782.36121772505,75141.48148148147,72109.00118040033,58948.92560082793,77699.75103734438,235470.6069,48124.888888888876,28988.87488515935,72344.07564462075
