variable,ABW,AGO,ALB,ANT,ARE,ARG,ATG,AUS,BEL,BEN,BGD,BGR,BHR,BHS,BIH,BLZ,BMU,BRA,BRB,BRN,CAN,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KEN,KHM,KIR,KNA,KOR,KWT,LBN,LBR,LBY,LCA,LKA,LTU,LVA,MAC,MAR,MCO,MDG,MDV,MEX,MHL,MLT,MMR,MNE,MOZ,MRT,MTQ,MUS,MYS,NAM,NCL,NGA,NIC,NLD,NOR,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PSE,PYF,QAT,REU,ROU,RUS,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,STP,SUR,SVN,SWE,SYC,SYR,TGO,THA,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UKR,URY,USA,VCT,VEN,VIR,VNM,VUT,WSM,YEM,ZAF
1,1608.7850467289718,5895.71533382245,8733.239700374532,18984.59806,48280.33546325879,16373.522221122439,12480.11989,40729.76109215017,38063.78267363704,1623.1796610169492,1696.652005487854,13194.731785428343,24330.237717908083,32062.91545189504,8509.06914893617,7530.576923076923,81545.82039,11505.733587762765,20060.659340659342,51865.714285714275,40278.458417849884,15519.827042187682,7752.2294728759025,1931.554362144087,2346.193173121077,360.77130643058547,4341.192184021766,9666.421859812073,1121.3877551020407,3960.120967741935,11915.556986477784,6551.607745603127,21547.445652173912,37777.39374498797,2415.9280089988747,6171.981431,37007.48108108108,9561.43850105772,8623.443667531295,8208.945731075008,6319.642509337903,558.283212790255,30736.034898105343,18917.539149888144,36138.31873252562,4733.449477351916,33739.049203049195,3207.76677,15520.66445182724,37015.48907086207,5302.3621323529405,1685.416530009839,1115.3315968743739,25750,2090.6597222222217,1212.990099009901,35076.17142857143,27488.562373448363,6272.259743,4898.062408784487,19600,3540.954907161804,47653.71331348362,4011.0722273385077,18448.943901885075,1131.444010807565,4419.234088322473,3400.6930183715026,41055.55704697986,12487.618622759346,3683.511619095731,37135.49999999999,30450.9706120248,30900.022790705352,7868.537030280919,5849.064166801357,35129.93029651641,1688.5439241724878,2243.7148111472625,1117.942592,10843.3493,31251.198738170347,52004.742418706606,14384.006622516556,549.7346019028541,17896.475216365063,9427.931034482759,5192.956855225312,17511.209386281585,14675.728241563056,65652.6838235294,4898.564051203405,188409.5975,990.5793183354252,8416.518987341771,14168.572864410215,2718.960878,25812.661870503598,1643.7933407001233,11587.892234548335,937.8889316403744,2511.953757225433,28157.89474,13808.129330254042,15063.847047639167,6692.693823915901,19302.788844621515,2433.8416770292192,2849.4091223220457,42188.78348281466,53289.105058365756,9867.771857,28940.027472527465,28001.71099928109,2748.3776419556084,14407.36991754336,9756.35657048526,4058.9603371184094,8000,2527.8477690288714,19670.949133944665,19689.85862896772,508.4976404,24624.469838890967,3132.1069571676153,18900.442804428043,79560.20466173963,24971.04548,12422.10555710695,16069.296716518134,23409.373360536283,2306.7252939015425,1981.2932282451343,59364.95084545812,2771.598513011152,845.4805725971371,6814.413046988535,38.48462115528882,2003.6363636363633,8099.428571428569,28820.660098522167,38489.09808102345,13194.76299,5413.98069668316,1023.8818845388188,8747.119296316656,1502.0818505338077,4636.730769230769,26420.62639821029,9762.711573323157,14297.510446448208,3524.392506,36758.55449928376,1430.6375861376864,6930.175585284281,14358.788958147816,48067.28697355534,10845.688073394494,12446.258799171841,9599.69281,3243.2408250614694,4545.749999999999,4497.704918032787,2705.1361576518516,10795.833881874212
2,2445.483870967742,7670.0953571986865,10650.295566502462,23017.67041,55821.70596267637,22674.563874817846,14550.86695,48762.99531134963,42353.30529706514,1886.1054975166978,2894.2720810324313,19093.50106609808,27183.20855614973,36720.46874999999,11519.2700729927,7952.419354838709,102545.9358,15213.23785386381,23056.086956521736,60660.52747252746,46264.45019335912,22528.80975609756,16873.285242759015,2905.1797119599246,3142.833877567891,583.0628236576723,6694.472769409038,13204.054616986807,1275.481798715203,5767.05882352941,16085.59139784946,8481.21579996376,20998.450363196123,44295.020432205565,3418.9122137404574,8279.718875,41599.61117861482,13212.043775649792,10693.928704880052,10497.424261008216,8569.65853971925,565.4519077324823,32484.454841502124,28168.473804100227,42349.434571890146,5430.5685618729085,36935.797061269746,5523.674741,17498.52100840336,42584.92372339454,9541.098632812496,2948.442073765693,2350.440408061707,31694.40097,2781.9479353680426,1563.9413680781759,35235.572519083966,28886.31495647586,8145.624544,5383.818071692086,33750.5912,5394.218749999999,62852.03998421675,4810.340772999455,21480.974251913707,1724.7195013357077,7632.067212848422,5716.377725174267,45651.838942307695,13514.543807903656,7151.110374230223,43369.97260273973,37330.46626439934,33143.86829935517,8727.92142857143,7355.714285714284,39563.29013185981,2270.4888854791993,3959.7766749379643,1720.633648,12427.5718,44412.36658932714,63010.76316530554,18980.759493670885,893.2602739726027,24565.821545157778,10386.666666666664,9170.970781426953,25578.187559204296,22255.369318181816,73211.8821603928,7409.619127857993,231904.0517,1098.9473684210525,10648.49162011173,17794.44118636735,4681.966178,30943.990719257537,2788.837658418829,13930.20092735703,1572.4287193648604,3455.477178423236,34658.15947,19802.035398230084,20713.07382962394,8658.42857142857,24833.728222996513,3600.284510933001,3746.1771672193267,47534.696519153404,60834.892193308544,16991.99663,33035.6086414624,34838.94318875993,3285.8278433633586,24330.391369794277,15659.502034799885,5432.430156360353,13775.75151,4087.167602436984,26735.324491877895,24032.483443708607,874.398933,26450.920652474426,4222.68115942029,19816.107382550334,120264.17452830188,42999.36469,16458.040599323343,23557.577934245637,29627.097139299964,2927.630485633488,2479.4859813084113,76288.07097680954,3609.720176730485,1435.8461538461536,8114.160075925339,43.28865979381443,6051.702127659573,11773.968253968254,33561.556195965415,46198.347533188025,20697.90925,7594.283976646123,1413.643558951965,13037.107513491075,2778.4485190409027,5202.545454545453,31983.705882352937,13399.588281868566,19847.29000135901,6068.894424,52458.404327824166,2058.5644459323735,10456.208917436354,20574.68510888758,57993.40738653734,13648.623853211007,15173.795481353774,11815.78692,5574.434817228408,5323.8,5363.999999999999,2519.2811413938175,14740.815783639991
3,4179.999999999999,7629.348123475881,13579.255813953487,27928.84188,69104.73515981734,29309.78541916567,16509.02885,57696.40644960811,49634.06781138324,2297.768031846704,4270.887474191328,27850.926344328956,34233.12228967909,41971.22891566265,17051.727425687044,8863.098591549295,124109.2678,19376.474778431213,27952.799999999996,70919.03225806453,51967.32531429842,29382.63026780153,28356.766703926005,4788.83750218646,4136.441751774278,1018.1620149761742,8688.138663335414,16444.887062187274,1636.5946413137422,8264.999999999998,20413.54238456237,10635.13097949886,23972.982195845696,50557.2334092103,5120.066390041493,10975.90046,47386.94374049671,16955.753107586796,14131.246165555736,13389.538131041889,12863.072869397192,595.5891517599539,35962.64921529419,38508.5557299843,49619.873373197326,6722.815642458099,43027.27830545515,9511.596333,19180.652703360935,50748.32297954639,14592.851427047211,3913.6030029399412,3878.658657243816,37149.32494,3642.3683254631305,2086.0580912863065,39104.28198433419,36657.545990355415,11004.43837,6192.615138165798,58117.46973,7460.183968462549,74221.34532462733,5836.332933468672,26492.026832774314,2478.7975757575755,12686.700426857275,8963.860365417982,52719.694713328376,17487.020846405907,9609.945388899976,52928.97755610971,45936.17033276931,38156.66300480414,10498.853227551388,10606.494464944648,47465.78366371338,2866.9873067159006,5745.840663483286,2700.234273,13999.13013,60585.524527065754,80313.93442622952,25423.488123261286,1366.4511259277897,32999.28152675564,13115.757575757576,14351.270836111484,31801.0667561221,29992.583249243187,76337.20720720719,11462.661276739093,271817.0624,1430.9643529312623,13954.06649616368,22371.1215821308,8062.200332,39700.82758620689,3797.654368151201,17550.778625954194,2166.583783783784,4413.796610169492,40623.17596,26940.60475161987,27746.29618303634,11427.538054268696,31722.208201892747,4681.290989572058,5325.751475707582,54310.269745113714,68213.51490236381,29259.69042,38240.55383423703,44785.97787968708,3997.882043859925,33755.82377237265,22612.128339591025,6493.603220553645,23721.41621,5238.363074469145,35494.820093770926,29787.139923731298,1516.580802,32056.356631810675,5956.948624805396,21624.037854889586,149799.6651038178,74043.57039,22606.591580878605,33333.918370035346,37192.795031055895,3615.803494347379,3064.7893697944246,89820.52182639236,4547.638554216867,1874.292639929484,9860.935634779802,56.650354952098695,9576,16926.231155778896,40950.80152671755,54443.222180591976,32769.99649,10217.50573471866,1841.80062090376,19494.60062240664,3776.36974789916,6093.103448275861,41018.55530474041,20912.74888308185,25128.159411121967,10450.44769,65620.03278688523,2789.1041902023208,15682.331303591398,27284.316760940754,69475.61166310968,16854.953271028036,18766.896055761463,13849.40223,8899.021468402423,6494.262295081966,6310.714285714284,3114.50451893376,19886.543264546985
4,7530.422535211268,7019.278597432456,17195.453677172874,34971.17677,84148.04404753911,35996.26201215924,19259.21001,68204.15126474484,59204.482581088036,2628.1448517550202,5174.564175414851,36481.450843143495,41059.859154929574,48039.86206896551,23312.67873034708,9782.790697674418,152879.7103,23642.449851632045,34354.8679245283,79665.37142857142,60265.496846531176,36280.850409836065,38885.15809340727,6451.718877690001,5008.217403041483,1409.679817411151,10277.204724409445,20772.20497213008,1972.2246220302377,11383.048327137543,24845.076323481644,13560.675952478494,28982.18487394958,59430.64181023398,7109.439042632758,16593.02854,55177.138103161386,21176.772151898735,16346.360464602745,17142.17220397394,18423.34749768261,596.2710253729924,40934.015094339615,50345.365853658535,59307.95585916973,7981.316397228636,51555.22665759944,15622.28901,21577.5,59998.974681373955,21054.84803776925,4437.76501305483,4970.431308907059,43543.09596,4383.459061637534,2681.076923076923,43599.387308533915,45972.23433242507,17040.83244,6934.296243904254,95454.84024,10115.537190082643,83647.81603828644,6702.9276952872815,32564.19950124688,3191.6915908920114,19010.191614226118,12752.82311225826,60304.475721323004,23307.56489970046,12696.381513405811,63839.99999999999,55917.710723192016,44782.64722489785,13183.624110819917,15179.563688668692,57191.81030527139,3302.3017432808388,7003.193392980041,4196.626443,16222.19657,76237.16494736173,106429.02885006095,32440.140127388528,1748.770548282311,41436.62027833002,17145.373134328358,19767.827715355805,38530.760869565216,37727.60517799352,78906.57303370786,16551.242533860517,318599.5023,1772.8825622775798,18534.014598540147,28064.522530335656,13241.73348,50845.594405594406,4044.484159220145,21481.006097560978,2534.502972419842,5414.726749760307,47614.83156,33691.05679367361,36018.735356901125,14653.212669683257,40377.522123893796,5387.0634996731305,7037.225311889374,62484.45051194539,77280.15441531285,48057.47888,46688.87986713416,55907.123762376235,4621.666069799654,42828.10423452768,30120.113347785693,7132.831746865358,38961.15928,6322.579752744878,45014.457750042166,36838.36904381196,2564.610147,38369.22356828193,7767.394355215966,25742.385321100915,166992.66547406084,121612.61,28922.484472049688,44340.4209681814,45839.31371991123,3975.376891061637,3457.333907191485,95987.81508515814,5340.551020408163,2244.634647729396,11313.519892110584,62.86334056399131,12208.546255506606,23050.426229508194,49482.75071633237,64135.74939238455,52897.00604,12408.105211033757,2140.6513872135097,26846.17600088875,4279.237918215612,6763.361344537815,50250.26128266033,30096.228209191755,30380.66772655008,17164.30222,78747.21537345902,3370.1189613094934,22253.639315075663,34161.8131530424,79970.34106545031,20619.611650485436,23151.245506782463,16233.02312,12985.781179468146,7630.858468677494,6839.999999999998,3788.5647989927147,25500.823199579463
5,12850.204081632652,7495.606481388982,21358.302263648464,44605.39167,93698.04206216265,42291.19823326189,23007.02494,78997.1807433919,68806.43818010454,3019.006423982869,5887.096140160628,44251.21089808275,47135.58716506782,54385.462753950334,29266.217516843113,10757.093023255813,189895.7966,28326.488594794842,40962.16867469879,86684.1697416974,68360.08159971306,43927.202244855536,48716.18777149781,8051.8326853465605,5957.410499277572,1835.4320491828598,11922.824010914052,26002.581678411276,2369.758214507129,15040.998080614201,29295.48661417323,17984.150684931505,34328.88290713324,69318.42515266103,9339.532324621734,28084.05199,64780.77853238362,26111.460224906285,19001.717588769607,22023.65289081492,24724.076436520852,624.2130868401848,46477.38798441178,61373.68155012636,68833.67382881296,9295.59902200489,60841.49706379213,24468.32944,24983.778135048233,69387.2618243243,28799.140859140854,4957.158025193762,6108.998238536279,51037.29905,5163.313672922251,3427.0911086717883,48723.513853904275,54940.69667538289,30067.33025,7712.512748597654,149505.6504,14223.74442793462,90781.99570087114,7634.625081034358,38230.35133717881,3985.0893556425776,26392.80123169783,16974.91779511899,67203.49179495855,29126.58438648178,14752.278431511962,73890.199556541,65835.17251815982,52644.41312313592,17296.207171314745,20961.924403272704,67776.18343711807,3819.4694300518136,8191.7018014564965,6377.214496,19307.6238,91270.275919922,126347.68035516093,39740.70623916811,2160.4528665488997,45721.557303370784,22370.351758793968,25202.62176070575,44669.52569169961,44774.75638051044,80448.56756756756,22163.324336740552,373433.6687,2215.7655705267125,23492.624113475176,34760.19748971254,20739.79665,60562.5,3980.14306725498,25287.272727272724,2952.134193548387,6748.972171724234,55809.82114,40254.313005143274,44509.633903600494,18466.398876404495,48962.197183098586,6018.089541022238,8853.198953685182,72137.33984487216,83969.20785999387,75269.77801,57679.79591836734,61531.30557515878,5207.370546737213,51992.566334111645,38552.91184327694,7881.326615017182,61022.71443,7616.0596461407695,52783.20057280945,44195.1391862955,4187.491085,44917.08046831443,9713.345832131525,31476.47416413373,172776.75962074735,190475.1222,35558.06459273331,52549.20409833485,51874.328411487906,4211.291009723795,3912.2871660383544,99814.96695147507,6250.169491525424,2655.460273300057,12704.61427800755,71.2114808079815,14601.5,30127.499999999996,57587.023121387276,73835.8705861889,88002.51878,14538.017776632743,2501.4232751605023,34971.507592665526,4648.17929393098,7581.000000000001,57415.6147893379,39042.27468900736,35695.647126724674,26883.49968,92388.47674186462,4006.0972044889454,29484.342279655397,41343.655217109525,88537.13061183582,25420.824742268032,27586.611328125,19026.88904,17922.366412213738,8967.383367139959,7798.7692307692305,4534.690607734807,31394.426112928457
6,20797.297297297297,9493.272592105946,26071.848441926344,58554.83941,100954.70307085673,49268.45662836793,27884.49135,90076.25267487425,79191.78217821782,3457.4571428571426,6530.084507705807,52959.42397137746,55396.89697717458,60787.07482993197,35135.62234794907,11853.129496402875,233580.682,33920.01095225988,47506.63755458515,94481.94495412843,76495.36128301227,52133.06272266004,57437.70135103778,9657.258630778233,7052.167132558482,2304.4299524572853,13735.261563320539,32367.401582861432,2875.3542009884677,19183.0487804878,34009.196806012216,23586.051417270926,40725.17880794701,80027.81397704253,11779.508726567548,39106.74307,74925.9880239521,31895.835897435896,23841.487402028073,28322.491349480963,32221.847054129536,683.5450074834295,54753.240236972546,72298.67957746479,78512.42521367522,10694.071146245058,70829.9421795112,34826.06233,29335.086401202097,78950.97963715058,37567.03731911653,5630.737070150194,7331.938141042673,59821.32957,6006.859623733719,4310.842963970088,54307.71380659586,65198.62708719851,42661.47955,8561.551362683438,212793.1582,19768.08510638298,97644.34393193013,8644.95015739769,44431.730286988015,4895.3725490196075,34892.961642698436,21787.169741197664,76196.39240506329,34939.362312679354,16298.90752860069,84126.5948275862,76022.65771812081,62314.512073509504,22802.473958333332,28094.942852118864,79659.5925132222,4496.867210132723,9287.505849321478,8960.892166,23442.10078,106862.61983863312,137682.90384953417,47834.74137931033,2630.4774193548387,49160.600425674915,28921.562500000004,31268.153846153844,50626.47702407001,52132.689393939385,82137.76,28146.04133449655,437705.3447,2757.5924133926846,28804.5390070922,43075.9392026225,29519.19756,69434.28571428571,3728.439447635341,29832.397476340695,3415.006299304169,8390.194902548725,65415.25052,46732.14395099541,54102.24212554103,22778.816033979292,57580.99173553719,6896.477546549836,10791.215736859074,82267.230904302,92817.94978457881,107132.3642,69808.19978821038,69342.67712900993,5823.242355934997,61313.66467576791,48176.1985407323,8778.070167132237,86854.35027,9070.31223509466,60419.78121801433,51881.80267965895,6250.743588,53055.55428244055,11789.763458401305,38362.40740740741,180543.81833016046,271105.4913,43624.64081795245,60940.17939290012,55953.51335261098,4431.562216234173,4471.031618208019,104581.51301784835,7286.719872306466,3122.5430463576154,13955.095665755565,81.54591903576573,16921.445783132527,38058.31365935919,66337.03631010794,82789.21926769178,149251.5865,16426.489359243937,2919.7949487371843,44141.76981712098,4804.257252708842,8559.5,65300.864553314124,47673.1671087533,41417.62185985015,38263.60265,105337.21005586591,4770.694903467706,38306.86415425065,49102.10855949895,96692.52383788684,31311.999999999996,32600.313065976712,22301.60727,23549.942486552805,10479.310344827585,8869.319371727746,5430.982995517444,37873.29145313274
7,31493.469387755104,12983.285327558202,31451.338218279976,73625.59457,109989.29333092354,56631.977102803736,32418.28863,103273.04354864819,90487.46180648619,3937.6916622167973,7131.260281743404,62799.20711661186,65171.42428785607,68472.08430913348,40966.05650616793,13230.90909090909,270674.419,40338.984340468516,54363.75,102818.16135084427,86957.27249224405,61566.58884120171,66179.34705080812,11313.707226905908,8268.194759645141,2821.9037503552886,15689.39922836671,39847.74313026914,3453.247652001977,23974.62039045553,39407.41641337385,30503.20622568093,49004.62575859742,92128.18592138695,14571.774193548386,49507.71411,86135.66554054053,38367.53263007331,30662.41416159457,35847.05502326854,40795.475145933786,763.699955159823,65013.01647177165,85925.91078066913,89511.62461426754,12124.120171673821,81682.09738130894,45003.18807,34694.59459459459,90366.50790491355,48239.10994764398,6467.162355388015,8611.660305343512,66754.8992,6916.302186878727,5318.5299806576395,60837.12977099236,76624.09133367929,54502.2861,9500.123081522821,274977.1256,26253.10344827586,105684.73642263463,9796.53431787919,51343.925346177,5931.83322125084,44373.25838999292,27231.131149367284,87133.40714645191,41785.84799026813,18677.627774909655,96143.25481798712,87114.11286019208,73282.51672398805,29486.048502139794,37014.8650635304,92787.68686184255,5326.233556907398,10432.433552443552,11737.17574,27461.64894,123090.45936395756,144392.06266318535,56672.45853658537,3166.3955769573736,53884.828932261764,37040.552486187844,37544.28217821782,59094.561489465945,61377.02721563154,84363.0894308943,34836.01503517846,488437.4248,3409.1526959673765,35570.78048780487,52793.27979069213,38145.5126,79405.85106382979,3378.7802221738175,35015.3642384106,3931.9814152966396,10318.25859321648,72997.18155,53307.733549959376,64515.97407548608,27708.13153199082,66669.47368421052,8077.549392779958,12792.403550699897,92917.62187443784,104329.55718475072,138439.3644,83711.24404446797,79148.38152985074,6586.762275076968,70574.04087013841,58695.70315849649,9844.105257055624,112235.5615,10635.165139429097,70111.73567603514,59853.982300884956,8529.892101,62316.05982053839,14102.162647511543,46904.42307692307,190845.90481460985,350329.9138,53643.835136370566,70838.94992699326,61072.572254335246,4718.467994230156,5123.5929685565725,110288.95690834474,8449.460641399417,3644.810539182398,15188.345047923318,92.92452086126666,19071.89189189189,46487.112676056335,76396.74772036474,94188.08111533585,255067.1544,18235.1379769018,3408.3582089552233,54071.81863615213,4810.799999999999,9525.123966942147,74435.36772777165,57380.83230168556,47623.544793968234,49445.27148,115847.86091699336,5649.8838122647485,48976.65060090135,57075.02269288955,105639.6937788237,37977.10843373494,37986.9683524003,24886.46703,30390.85348098999,12202.362728785356,9887.999999999998,6511.573828470379,45095.28877855785
8,45998.99999999999,17927.342249171226,37628.86776145202,89022.86843,120002.19998733455,64189.78043219666,36985.59857,117170.7436861902,101864.25230597223,4451.054028234794,7750.573259833174,71967.27619855748,74604.4886877828,76841.09181141439,46735.83561643835,14743.045525902666,305353.8621,48036.4959856236,62250.16216216217,111318.30708661416,98736.29885807504,71812.17536482809,74799.73113087674,12959.896482073724,9540.03913724126,3383.8888398764884,17700.97614991482,48344.43029490617,4112.34523271577,29517.189695550347,45476.1661341853,38849.08219683007,58345.94594594595,104840.43340380548,17571.063063063062,60005.79284,98544.55445544553,45491.325278279895,38503.91529925775,44506.57065809857,50104.51126104723,862.1442862186655,75592.19982781076,99136.0237388724,101139.0146122143,13509.532710280371,92780.79436364383,52748.68763,41048.92140183735,101874.29842155748,59200.61122244489,7420.5468226765925,9927.495467989695,72677.52414,7879.905853458862,6424.8759305210915,68132.39943208708,87960.58271935697,66775.95169,10554.917723226326,322303.444,35162.666666666664,113729.87842669841,11095.349805819777,58423.39410009943,7092.205067300079,54822.439482937836,33209.35782711312,97999.64948453607,49176.15716486902,22609.196333147676,108416.22559652927,98663.65858315828,84562.05180970825,37677.74412532637,47822.60178270296,106302.02918693535,6272.77811184606,11616.940628637949,14265.00606,31644.1792,140346.4689769397,151525.61158798283,66203.19828280118,3759.4976654322977,59154.24264178032,46678.19277108433,43431.66777851901,67471.7861080485,70947.131661442,86998.97872340425,41945.32204330927,531772.5464,4166.1034959359895,43272.62337662337,63763.97387418355,44710.73751,90613.43023255814,2970.847933581588,40570.10752688171,4505.1646534008305,12500.974482831041,79473.63396,60683.999999999985,75890.1065601946,33345.35246104378,76334.2693409742,9566.680105379648,14810.238659136454,104226.03339517624,117299.91147831218,162266.166,98372.90772532189,89433.35745296671,7413.789339242633,80051.07457156091,70075.543055288,11084.168406308501,131552.4261,12341.28375,80272.45324189526,68414.06652360514,10574.46886,72397.09793161669,16561.21980387467,56493.33333333333,199997.78885630498,410625.202,64558.57724296583,79945.38216110905,68152.15732437765,5079.139577391125,5827.130301369862,116893.25004593056,9760.18944519621,4224.319549353476,16490.139860139858,105.28623279548638,21347.55555555555,55817.38317757009,86516.88724192695,105615.20751494447,396549.3539,20259.35811995791,3959.458931389494,64802.177793231334,4638.905944739045,10704.878048780489,83367.0498084291,66839.46613629225,54204.87463179826,57955.2981,127825.0847457627,6588.302382355417,60026.88583790413,65333.172757475084,115033.18490735645,45934.399999999994,43900.78818570175,27094.44295,37763.095789725965,14119.006211180124,11221.875,7658.821565372236,53155.55071431562
9,63169.923664122136,24196.162983169354,44592.124814264476,103402.7857,130358.69618696187,72619.1796345064,41422.17519,132290.0403790688,114660.45028142587,5013.166990421327,8408.74645778136,81459.22914218565,83853.25436408976,86082.25806451612,52420.09523809524,16357.751824817517,335229.2916,57120.629856691005,70945.76687116564,121109.3670886076,112020.81482147674,83351.21296737723,84179.7851281362,14537.788914860743,10868.733939596194,3989.4579745364254,19760.580665916037,58012.425855513306,4854.408692018386,35769.31297709923,52176.097737556556,48685.26384935405,68477.2286374134,118716.30520690075,20640.807962529274,69314.47801,112740.15225666121,53420.77753779697,47442.378925387515,54341.718091281225,60575.83116777651,983.6980342492152,87891.42495250158,113273.00847457626,114180.83529411766,15066.643952299828,105361.19456782415,58862.50525,48164.346116027526,114625.21942039895,71100.55077452667,8473.490257966614,11281.782394751228,77193.46268,8904.530831099195,7618.620689655172,76279.06516853931,100185.58229531987,77221.32592,11709.702609087743,359659.9085,45777.96380090497,122556.60741885623,12490.617180107245,66103.11111111111,8338.663299009131,66860.23136334252,39943.48353913413,110529.35593220337,57325.28047633971,28158.768932816878,122401.08108108107,111758.23106688779,97147.23754631533,47432.56647398843,60071.26874746656,121762.26941021653,7343.910922680829,12830.250445708465,16689.27594,35684.14571,158888.80848272846,162568.69171229,76233.48711803475,4409.466213514594,65805.9595448799,57722,49921.07330633952,75549.49907235621,81321.34513274337,91191.29770992366,49424.69314079422,564815.1158,5020.467845733599,52122.24137931034,76369.54175381272,49892.91942,102269.0322580645,2542.36022295934,46685.71428571428,5138.433843384339,14868.20201624743,84411.86006,68769.4343240652,88486.9069760908,39696.68438859352,86992.36363636362,11281.497678398311,16926.54117647059,117099.6785437645,131939.9272617063,181073.5675,114612.87610619466,100254.10903584048,8265.147261849976,90206.2630792227,82603.66242038217,12427.806809851618,146799.9627,14150.943871431999,90746.95988190344,78187.64378478665,12473.62391,83783.12788732395,19111.20211943923,67567.55395683453,206550.00954502067,458218.5679,76471.23270826928,89452.12082670906,77206.71047843304,5534.050151903314,6575.13866039953,123923.90530149735,11232.480916030534,4859.871236740449,17872.747759282967,118.68802642444263,23554.647887323943,66032.8370221328,97633.35950644981,117997.02217529036,557872.884,22269.209075296032,4545.785123966942,76440.843119145,4284.4549763033165,11978.90625,93733.90134529145,76377.09116214336,61360.66406847011,64672.58603,140785.0179948586,7566.526483950894,72034.53432017131,74394.97237569059,125919.1019488709,54367.94117647058,50940.65293146665,28778.00111,45996.67771070667,16194.361233480173,12625.929648241205,8802.86862334032,62086.230618592315
10,84765.76271186439,31865.80747772083,52473.35628227193,117494.744,141387.23108322624,82158.92762475509,46462.17971,150107.38248048566,129701.65029888981,5650.967741935483,9173.306343711965,91774.80252764611,93516.6037735849,96123.18584070794,58495.506445672196,18141.53846153846,366843.3096,68171.85818690718,80732.72727272726,131884.40366972476,127879.18023394603,96872.55732459815,94294.94199410573,16115.68527251207,12306.755447941887,4674.195172390412,21939.284171551986,68908.26647470714,5679.563522992986,42904.30939226519,59720.372424722664,60653.12761506276,80000.1526717557,134747.8071844548,23903.33141872487,79062.3014,128863.52647735993,62290.31450794724,57904.491017964065,65601.08011869437,72266.99191107687,1134.9274982986963,102465.65831435079,130000.29646522235,129770.23779724655,16836.268656716416,120174.76742103063,62520.02467,56193.05811368688,129871.53946932266,84502.22222222222,9635.190685923042,12714.810612672367,81990.00655,10034.38786565547,8920.779994045846,85641.50696864112,114080.54347826088,88067.71211,13021.95366737096,382007.9736,58220.81012658226,133214.0620938628,14048.115056888142,74749.99581064096,9696.086182788866,80781.41804957463,47613.8492037699,125575.13726965025,66430.48602630751,35261.19598381538,139202.72727272726,126863.95119325318,111741.15708739702,58994.633204633195,73950.85942533177,139460.5841307126,8569.441951824665,14201.024734982331,18781.34121,40268.7442,178579.96563429863,177336.79047814486,87072.06884913938,5138.676878889421,74395.53269256804,70671.49253731343,56980.37216078404,84991.15543328748,92860.45954045955,97092.89340101523,57692.713494132986,599910.8401,6001.5707278328155,62867.10097719869,90860.98614958447,52993.09874,115423.97111913355,2125.4222560975604,53669.46188340807,5869.229611116965,17395.609890614945,89656.93102,77904.41860465117,102262.16068500638,46973.89468690701,99094.31372549018,13162.142298670835,19246.338147833474,131864.44398851047,149006.08446215137,192324.874,133174.3684820394,112199.02478017584,9253.090830976334,101332.08845208846,96390.01924486805,13947.39257005259,155921.6219,16120.255591054314,102760.88112090134,89892.13724088634,13987.63209,96593.74376444824,21940.961538461535,80174.13127413127,210569.93675333797,486690.7389,89755.87429111531,99815.48046892682,88208.27605091018,6054.741520944509,7405.463177029102,131865.89281641963,12880.349819059107,5576.241746475522,19456.68449197861,133.79970635017742,25964.548494983275,77507.4725274725,110256.44016837039,133143.806612948,709111.936,24460.137979893392,5192.023633677991,89022.26661602734,3831.4611769970907,13392.888888888887,105884.23817863397,87012.83944243674,69506.45684141475,68691.12446,156178.1929533828,8622.158042481518,85235.85190782016,84662.31719876417,138458.4069514844,64531.47540983606,59274.67629766504,30566.16995,55354.65868801992,18472.162921348317,14146.857142857141,9997.436446469248,72107.79325286289
