percentile,Original,Wider,Narrower
0.0,430.69470393495203,369.4883930487549,860.9423984739674
0.01,702.3937600932078,568.798420439034,1049.1141900459952
0.025,865.4666548401656,738.292092346577,1161.9926795458832
0.05,1010.8272582009026,917.2618302229102,1279.3589248886426
0.17,1359.863792745448,1406.5356117513938,1520.3412030790498
0.25,1551.083493453055,1617.8901230880574,1620.0684447300664
0.5,1928.2280986056976,2198.767894172327,1874.8235913906806
0.75,2362.2922662495357,2894.010719033695,2134.7731479322033
0.83,2543.6410795315874,3169.4151359963325,2248.4501554336057
0.95,3153.760851616276,4011.4052879785204,2596.452806657183
0.975,3401.6147334087696,4485.831045918622,2743.1102665365606
0.99,3814.733670462226,5196.163658521191,2939.293800114635
1.0,5325.009357566107,7097.790635862919,3663.8525746446576
