percentile,percentiles-only,SLR-only,Socioeconomic-only,SLR&SE
0.0,,2008.9528602609507,1203.2537122415945,1219.7195255930037
0.01,,2221.3418428584655,1612.0216584991833,1657.1995020827526
0.025,,2363.9875294909143,1900.9091401060575,1988.2730514691743
0.05,2556.5075478008603,2454.4449298799177,2141.7665138133584,2267.3778672442772
0.17,,2710.2223702483684,2705.1442615675896,2949.584734735636
0.25,,2800.1012527263993,2961.121404411379,3256.954709718946
0.5,3412.0912029528354,3052.2189760826514,3589.625529787173,4071.5008162536114
0.75,,3341.7954622095685,4247.0785897229825,4952.550103850942
0.83,,3446.2446760486423,4544.39000954239,5339.309122237419
0.95,3589.524586240096,3682.105398696566,5607.469081259247,6634.648765125807
0.975,,3793.2856567365297,6227.267223770834,7258.7447788743675
0.99,,3979.019905319292,6921.657526528252,8431.79649162953
1.0,,4574.909510634572,9286.491215924305,13179.355017196782
