percentile,SLR-only Europe and Central Asia,SE-only Europe and Central Asia,SLR and SE Europe and Central Asia,SLR-only Middle East and North Africa,SE-only Middle East and North Africa,SLR and SE Middle East and North Africa,SLR-only Sub-Saharan Africa,SE-only Sub-Saharan Africa,SLR and SE Sub-Saharan Africa,SLR-only Latin America and the Caribbean,SE-only Latin America and the Caribbean,SLR and SE Latin America and the Caribbean,SLR-only East Asia and Pacific,SE-only East Asia and Pacific,SLR and SE East Asia and Pacific,SLR-only South Asia,SE-only South Asia,SLR and SE South Asia,SLR-only North America,SE-only North America,SLR and SE North America
0.0,1.4952979136098152,0.40593354074948124,0.34031263888159213,1.155230075347254,0.3310067665967897,0.19242215382405117,2.9273750883085747,0.3134556231625562,0.27849536245178724,3.3172372933025875,0.5962571589860397,0.7231478166999711,2.7001635188258217,0.8868410990598956,0.9236848151841222,2.3964580334870482,0.6123710491523863,0.4451758093902698,1.4034797197204885,0.6651032726611796,0.49548031968882694
0.01,1.6198592958335079,0.8554938170066309,0.7322056546428224,1.268869028870054,0.5465436072866552,0.41419548621666746,3.0438474850895494,1.023409056316688,0.7646978534536264,3.5645671104254273,1.543530411872402,1.3322290237621932,2.8480625729682663,1.5010668985543032,1.3521588532440934,2.558361700360523,1.254640927934274,0.8367409939324396,1.5579933664421086,0.9373849388523047,0.8156563531519226
0.025,1.6812771844165064,1.0234316872961633,0.9530513891456369,1.3749231567294995,0.6759715316471155,0.5509954120121157,3.1132512283344798,1.4231610182109122,1.1140077113912827,3.7507229048551065,2.140708416445315,1.7682829198725079,3.008512474670333,1.8941048453901341,1.6831124687549033,2.7294263954911093,1.6021478355075347,1.0892092263555178,1.6305181985366977,1.0676715724477697,1.0241292127005415
0.05,1.7796034385370025,1.2217886682595458,1.1783747329595213,1.5070299307592698,0.799196288565239,0.6815777467587646,3.192836574365754,1.6298140056543398,1.4009336735587723,3.971861394397312,2.413961550177985,2.0462005427927132,3.1724065390412344,2.0705040024995607,1.916323332259534,2.866650147871108,1.7904724988413476,1.2302668912216839,1.7486505581485745,1.276418641476737,1.293277133319822
0.17,1.9993568956855834,1.6793727445845763,1.599892452776601,1.9054429553893208,1.1316624558871244,1.0314243483613073,3.373236181071709,2.4923202439091217,2.121506909416987,4.356004461194985,3.42124505823542,2.8859434169756435,3.525251665056692,2.855226517664466,2.595240672761527,3.2370453213135972,2.441078293483424,1.7741077530503522,2.012417150266189,1.7064028036003331,1.696986106139764
0.25,2.094412353285426,1.8699921993380633,1.7713309816598624,2.0435334121346553,1.341391484780555,1.2217747176078448,3.453519541221632,2.813484150823376,2.379711567039573,4.4828918103377156,3.747519338536709,3.2122183081406437,3.639366812603834,3.1410426733157917,2.939216330398523,3.373316280103337,2.689068616369693,2.012013029064193,2.1078485657873647,1.8731324263509772,1.8878423401473334
0.5,2.290247407649205,2.284020871077825,2.226641310326226,2.375222640748486,2.168994843164845,1.787191865056523,3.673707587276186,3.760108691928373,3.1332747435520103,4.827356938661047,4.670911485520612,4.015787262846582,3.9673556138517796,3.8744864967910866,3.6270363029954575,3.6950950834032192,3.548675896982459,2.6020941320551056,2.3464299383366694,2.242745623833998,2.3413569837217443
0.75,2.5264780194192316,2.7131772277641577,2.66575136892149,2.7939208303025165,2.7466305728038134,2.3617501758295063,3.8729445467265498,5.055970760212377,4.2454658578192,5.181855837357453,5.743746306297782,5.007273759223166,4.294419993377752,4.712280179550763,4.446413611849239,4.061912499506789,4.614281197004669,3.4479879459395115,2.6125751310327594,2.6045835681798817,2.8083417599053093
0.83,2.625197008232331,2.88715913370503,2.8854638322097697,2.9733469035194844,3.0024911444770512,2.655395262625926,3.9865772088239555,5.752239292054851,4.793072365649964,5.3726913557933225,6.190365593053072,5.390666974792456,4.488164309261695,5.110583860171339,4.807446174135655,4.210005121474737,5.165722639709269,3.8566495614723575,2.7244200317530765,2.7319530041058018,2.9803330477490917
0.95,2.917269561612811,3.2864307054775725,3.417572196891222,3.5291326188970444,3.682436576385973,3.3973773759444663,4.317334311720506,8.585301686494828,7.193053776205456,5.861075824213463,7.556683727798922,6.608771084700777,4.948422313733789,6.2356955979536455,5.9278667828763405,4.859950253187057,6.866164807467755,5.1417894591283035,3.0518669243657146,3.11364267860761,3.546859033326115
0.975,3.0605915474011547,3.4379470984650053,3.705100422183098,3.7754770962236575,3.932687570119354,3.8477197125499574,4.479430337321597,10.793821122899212,8.472809365494733,6.061264568373378,8.085524931909879,7.37127830571268,5.124853193616401,6.771162390601437,6.36899528597962,5.3180084977533575,7.8244554322732265,5.7911911120650394,3.179673464110346,3.3148777228779798,3.7715314676840124
0.99,3.244432214165479,3.6685420806859272,3.9552199732545716,4.016655493178603,4.304873454621378,4.380384154674473,4.645955860483556,13.517789987238487,12.583724795424777,6.2740629872445615,8.767888737230116,8.177449042793139,5.298177571050053,7.403421709699158,7.359607375928534,5.756003721676183,9.187928870208125,7.383361671809105,3.3724414276540626,3.4830927910225684,4.101782146432203
1.0,4.30835103872823,4.490570434897784,4.546033007945313,4.696726656070555,5.299808946023546,6.000869638884821,5.281827578953467,19.710021427437955,32.60153605637823,8.305751440316481,10.265796284757966,11.212167815786376,6.568965607959479,8.73996685797008,10.606548958360545,6.433163775052006,11.570237271105858,14.42221617843814,4.875245040782865,4.274219728907459,4.667033424246709
